country,dataset_key,dataset_party_id,name_short,name,name_english,year_first,year_last,share,share_year,description,comment,created,modified,external_id,partyfacts_id,linked
ARM,manifesto,76521,AIM,Azgayin Inknoroshum Miavorum,National Self-Determination Union,1995,1995,5.7,1995,,,2014-02-08T21:29:19.531500Z,2021-03-12T10:13:34.667520Z,3755,2010,2014-02-10T09:22:39.785283Z
ARM,manifesto,76904,AM,Azgayin Miabanutyun,National Unity Party,2003,2003,8.9,2003,,,2014-02-08T21:29:12.666401Z,2021-03-12T10:13:34.672296Z,3641,2011,2014-02-10T09:23:49.511088Z
ARM,manifesto,76712,AZhM,Azgayin Zhoghovrdakan Miutyun,National Democratic Union,1995,1999,7.7,1995,,,2014-02-08T21:29:18.531652Z,2021-03-12T10:13:34.679085Z,3739,2009,2014-02-10T09:21:53.514349Z
ARM,manifesto,76620,BHK,Bargavadj Hayastan Kusaktsutyun,Prosperous Armenia,2007,2012,30.2,2012,,,2015-11-17T11:43:39.323459Z,2021-03-12T10:13:34.692340Z,15497,4205,2015-11-17T11:45:58.804934Z
ARM,manifesto,76711,HA,Hanrapetutyun,Republic,1995,1995,43.9,1995,,,2014-02-08T21:29:12.452172Z,2021-03-12T10:13:34.707548Z,3634,2012,2014-02-10T09:24:15.037787Z
ARM,manifesto,76610,HHK,Hayastani Hanrapetakan Kusaktsutyun,Republican Party of Armenia,2003,2012,44.1,2012,,,2014-02-08T21:29:19.283106Z,2021-03-12T10:13:34.731305Z,3751,2013,2014-02-10T09:24:41.404501Z
ARM,manifesto,76222,HKK,Hayastani Komunistakan Kusaktsutyun,Communist Party of Armenia,1995,1999,12.4,1995,,,2014-02-08T21:29:16.260011Z,2021-03-12T10:13:34.740552Z,3700,2018,2014-02-10T09:28:26.640596Z
ARM,manifesto,76041,HAK,Hay Azgayin Kongres,Armenian National Congress,2012,2012,7.1,2012,,,2015-11-17T11:43:43.584400Z,2021-03-12T10:13:34.747022Z,15504,4539,2015-11-17T12:05:20.705508Z
ARM,manifesto,76321,HHD,Hay Heghapokhakan Dashnaktsutyun,Armenian Revolutionary Federation,1999,2012,13.2,2007,,,2014-02-08T21:29:20.648179Z,2021-03-12T10:13:34.759326Z,3767,2020,2014-02-10T09:34:02.699379Z
ARM,manifesto,76902,IM,Iravunk ev Miabanutyun,Right and Unity,1999,1999,8.1,1999,,,2014-02-08T21:29:20.115399Z,2021-03-12T10:13:34.763019Z,3761,3890,2016-08-20T14:54:39.048708Z
ARM,manifesto,76903,M,Miasnutyun,Unity,1999,1999,42.4,1999,,,2014-02-08T21:29:08.510457Z,2021-03-12T10:13:34.768306Z,3568,2013,2020-04-18T02:02:14.559053Z
ARM,manifesto,76322,MAK,Miavorvac Ashkhatankayin Kusaktsutyun,United Labour Party,2003,2003,5.7,2003,,,2014-02-08T21:29:17.912238Z,2021-03-12T10:13:34.770387Z,3729,2016,2014-02-10T09:26:35.786730Z
ARM,manifesto,76420,OEK,Orinats' Yerkir,Rule of Law,1999,2012,12.6,2003,,,2014-02-08T21:29:15.757405Z,2021-03-12T10:13:34.776321Z,3691,2007,2014-02-10T09:20:55.246787Z
ARM,manifesto,76901,,Shamiram,Semiramis (Women’s Movement),1995,1995,17.4,1995,,,2014-02-08T21:29:11.013903Z,2021-03-12T10:13:34.781965Z,3624,2015,2014-02-10T09:25:56.897299Z
ARM,manifesto,76430,,Zharangutyun,Heritage,2007,2012,6,2007,,,2015-11-17T11:43:51.127922Z,2021-03-12T10:13:34.787181Z,15534,3783,2015-11-17T12:00:32.454842Z
AUS,manifesto,63321,AD,Australian Democrats,Australian Democrats,1990,2001,11.3,1990,,,2013-01-01T18:16:18.103Z,2021-03-12T10:13:34.791466Z,1414,990,2013-01-01T18:33:19.496Z
AUS,manifesto,63110,,Australian Greens,Australian Greens,2004,2016,11.8,2010,,,2014-02-08T21:29:20.198519Z,2021-03-12T10:13:34.807260Z,3763,1209,2014-02-09T14:06:39.389519Z
AUS,manifesto,63320,ALP,Australian Labor Party,Australian Labor Party,1946,2016,50,1954,,,2013-01-01T18:18:19.112Z,2021-03-12T10:13:34.810785Z,1980,424,2013-01-01T18:33:19.895Z
AUS,manifesto,63622,CLP,Country Liberal Party,Country Liberal Party,2013,2013,0.3,2013,,,2015-11-17T11:43:40.181316Z,2021-03-12T10:13:34.812716Z,15499,143,2015-11-17T11:46:07.890687Z
AUS,manifesto,63330,ALP-AC,Democratic Labor Party,Democratic Labor Party,1955,1977,7.8,1958,,,2013-01-01T18:18:28.967Z,2021-03-12T10:13:34.819140Z,2027,1540,2013-01-01T18:33:20.746Z
AUS,manifesto,63710,KAT,Katter's Australian Party,Katter's Australian Party,2013,2016,1,2013,,,2015-11-17T11:43:39.262199Z,2021-03-12T10:13:34.824610Z,15496,1997,2015-11-17T11:46:06.478080Z
AUS,manifesto,63621,LNP,Liberal National Party of Queensland,Liberal National Party of Queensland,2010,2016,9.1,2010,,,2014-02-08T21:29:14.226992Z,2021-03-12T10:13:34.829362Z,3668,285,2014-02-09T14:06:52.743053Z
AUS,manifesto,63620,LPA,Liberal Party of Australia,Liberal Party of Australia,1946,2016,41.8,1975,,,2013-01-01T18:17:52.342Z,2021-03-12T10:13:34.836106Z,1851,486,2013-01-01T18:33:21.095Z
AUS,manifesto,63810,CP,National Party of Australia,National Party of Australia,1946,2016,11.5,1987,,,2013-01-01T18:17:48.281Z,2021-03-12T10:13:34.839721Z,1831,1743,2013-01-01T18:33:20.297Z
AUS,manifesto,63901,NXT,Nick Xenophon Team,Nick Xenophon Team,2016,2016,1.8,2016,,,2019-01-22T16:59:52.696653Z,2021-03-12T10:13:34.843209Z,29061,5453,2019-01-22T16:59:52.750971Z
AUS,manifesto,63410,PUP,Palmer United Party,Palmer United Party,2013,2013,5.5,2013,,,2015-11-17T11:43:32.287670Z,2021-03-12T10:13:34.856547Z,15468,1996,2015-11-17T11:46:11.925742Z
AUT,manifesto,42710,BZÖ,Bündnis Zukunft Österreich,Alliance for the Future of Austria,2006,2008,10.7,2008,,,2014-02-08T21:29:16.831116Z,2021-03-12T10:13:34.879952Z,3710,599,2014-02-09T13:26:45.747566Z
AUT,manifesto,42430,NEOS,Das Neue Österreich und Liberales Forum,The New Austria and Liberal Forum,2013,2017,5.3,2017,,,2018-08-02T13:23:00.513088Z,2021-03-12T10:13:34.886940Z,25047,1970,2018-08-02T13:23:00.547281Z
AUT,manifesto,42110,GA,Die Grünen,The Greens,1986,2017,12.4,2013,,,2013-01-01T18:18:24.770Z,2021-03-12T10:13:34.893126Z,2007,1659,2013-01-01T18:33:21.472Z
AUT,manifesto,42420,VdU,Freiheitliche Partei Österreichs,Austrian Freedom Party,1949,2017,26.9,1999,,,2013-01-01T18:17:11.030Z,2021-03-12T10:13:34.905296Z,1656,463,2013-01-01T18:33:23.307Z
AUT,manifesto,42220,KPÖ,Kommunistische Partei Österreichs,Austrian Communist Party,2002,2008,0.8,2008,,,2013-01-01T18:16:16.852Z,2021-03-12T10:13:34.911611Z,1408,996,2014-02-15T22:47:37.431136Z
AUT,manifesto,42421,LIF,Liberales Forum,Liberal Forum,1994,1995,6,1994,,,2013-01-01T18:17:57.369Z,2021-03-12T10:13:34.916301Z,1875,605,2013-01-01T18:33:22.523Z
AUT,manifesto,42120,PILZ,Liste Peter Pilz,Peter Pilz List,2017,2017,4.4,2017,,,2019-01-22T16:59:45.467353Z,2021-03-12T10:13:34.918013Z,29053,6137,2019-01-22T16:59:45.539094Z
AUT,manifesto,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,1949,2017,48.3,1966,,,2013-01-01T18:18:05.182Z,2021-03-12T10:13:34.923324Z,1913,1329,2013-01-01T18:33:24.167Z
AUT,manifesto,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,1949,2017,51,1979,,,2013-01-01T18:17:22.879Z,2021-03-12T10:13:34.926669Z,1711,1384,2013-01-01T18:33:22.926Z
AUT,manifesto,42951,TS,Team Stronach für Österreich,Team Stronach for Austria,2013,2013,5.7,2013,,,2018-08-02T13:23:03.451374Z,2021-03-12T10:13:34.932184Z,25061,1971,2018-08-02T13:23:03.503051Z
AZE,manifesto,77430,ADPS,Azərbaycan Demokratik Sahibkarlar Partiyası,Azerbaijan Democratic Entrepeneurs Party,1995,1995,4.2,1995,,,2014-02-08T21:29:21.441645Z,2021-03-12T10:13:34.939867Z,3777,1990,2014-02-09T23:22:15.198383Z
AZE,manifesto,77710,AMİP,Azərbaycan Milli İstiqlal Partiyası,Azerbaijan National Independence Party,1995,2000,9.8,1995,,,2014-02-08T21:29:15.846014Z,2021-03-12T10:13:34.943610Z,3693,1991,2014-02-09T23:22:40.288271Z
AZE,manifesto,77221,AVKP,Azərbaycan Vahid Kommunist Partiyası,Azerbaijan United Communist Party,2000,2000,6.3,2000,,,2014-02-08T21:29:10.776124Z,2021-03-12T10:13:34.960209Z,3619,1993,2014-02-09T23:23:21.595614Z
AZE,manifesto,77420,AXC,Azərbaycan Xalq Cebhesi,Azerbaijan Popular Front,1995,2000,11,2000,,,2014-02-08T21:29:11.166290Z,2021-03-12T10:13:34.965325Z,3626,1992,2014-02-09T23:22:59.121106Z
AZE,manifesto,77951,VHP,Vatandas Hamrayliyi Partiyası,Civil Solidarity Party,2000,2000,6.4,2000,,,2014-02-08T21:29:07.994343Z,2021-03-12T10:13:34.967882Z,3563,1994,2014-02-09T23:24:00.418343Z
AZE,manifesto,77220,YAP,Yeni  Azərbaycan Partiyası,New Azerbaijan Party,1995,2000,66.1,1995,,,2014-02-08T21:29:21.690993Z,2021-03-12T10:13:34.980024Z,3779,1995,2014-02-09T23:24:50.558127Z
BLR,manifesto,78430,ADPB,Abyadnanya Demakratychnaya Partiya Belarusi,United Democratic Party of Belarus,1995,1995,,1995,,,2014-02-08T21:29:16.560520Z,2021-03-12T10:13:35.005880Z,3704,2033,2014-02-13T10:46:25.624747Z
BLR,manifesto,78212,APB,Agrarnaya Partiya Belarusi,Agrarian Party of Belarus,1995,1995,,1995,,,2014-02-08T21:29:14.053473Z,2021-03-12T10:13:35.014039Z,3663,2037,2014-02-13T10:51:16.654563Z
BLR,manifesto,78710,BSDP,Belaruskaja Sacyjal-Demakratychnaya Partiya ‘Hramada’,Belarusian Social-Democratic Party ‘Hramada’,1995,1995,,1995,,,2014-02-08T21:29:18.238248Z,2021-03-12T10:13:35.022455Z,3732,2035,2014-02-13T10:48:51.773935Z
BLR,manifesto,78901,BPZ-N,Belaruskaya Partiya Zhanchyn ‘Nadzeya',Party of Women ‘Nadzeja’,1995,1995,,1995,,,2014-02-08T21:29:08.212056Z,2021-03-12T10:13:35.027021Z,3566,2606,2018-11-18T12:19:00.123733Z
BLR,manifesto,78213,BKhP,Belaruskaya Syalanskaya Partiya,Belarusan Peasants' Party,1995,1995,,1995,,,2014-02-08T21:29:08.909477Z,2021-03-12T10:13:35.028627Z,3576,2606,2018-11-10T22:57:39.906754Z
BLR,manifesto,78214,BPR,Belaruski Patryatychny Rukh,Belarusan Patriotic Movement,1995,1995,,1995,,,2014-02-08T21:29:17.578112Z,2021-03-12T10:13:35.031327Z,3721,2036,2014-02-13T10:50:04.070787Z
BLR,manifesto,78211,PKB,Partiya Komunistau Belaruskaya,Party of Communists of Belarus,1995,1995,,1995,,,2014-02-08T21:29:15.211808Z,2021-03-12T10:13:35.042331Z,3682,2030,2014-02-13T10:41:55.584481Z
BLR,manifesto,78410,PNZ,Partiya Narodnaya Zgody,Party of People’s Consent,1995,1995,,1995,,,2014-02-08T21:29:09.314837Z,2021-03-12T10:13:35.048793Z,3587,2606,2018-11-11T19:04:44.014970Z
BEL,manifesto,21320,BSP/PSB,Belgische Socialistische Partij/Parti Socialiste Belge,Belgian Socialist Party,1946,1977,39,1954,,,2013-01-01T18:17:18.574Z,2021-03-12T10:13:35.055119Z,1691,480,2013-01-01T18:33:25.547Z
BEL,manifesto,21521,CVP,Christen-Democratisch en Vlaams,Christian Democratic and Flemish,1968,2010,26.2,1977,,,2013-01-01T18:17:15.925Z,2021-03-12T10:13:35.058554Z,1679,622,2013-01-01T18:33:25.968Z
BEL,manifesto,21913,CVV,De Volksunie,Peoples’ Union,1954,1995,11.1,1971,,,2013-01-01T18:17:03.851Z,2021-03-12T10:13:35.097729Z,1623,1424,2020-04-18T01:49:11.772509Z
BEL,manifesto,21915,VU-ID21,De Volksunie –Integrale Democratie voor de 21ste Eeuw,People’s Union - Complete Democracy for the 21st century,1999,1999,5.6,1999,,,2013-01-01T18:18:13.554Z,2021-03-12T10:13:35.112715Z,1953,1424,2016-08-03T09:15:05.847025Z
BEL,manifesto,21111,ECOLO,Écologistes Confédérés pour l’Organisation de Luttes Originales,Ecologists,1981,2010,7.4,1999,,,2013-01-01T18:17:29.051Z,2021-03-12T10:13:35.116977Z,1740,1563,2013-01-01T18:33:32.321Z
BEL,manifesto,21912,FDF,Front Démocratique Francophones,Francophone Democratic Front of Francophones,1965,1991,4.5,1971,,,2013-01-01T18:18:09.853Z,2021-03-12T10:13:35.147455Z,1935,698,2013-01-01T18:33:26.941Z
BEL,manifesto,21112,AGALEV,Groen!,Green!,1981,2010,7,1999,,,2013-01-01T18:17:36.730Z,2021-03-12T10:13:35.171033Z,1776,528,2013-01-01T18:33:24.538Z
BEL,manifesto,21430,LDD,Lijst Dedecker,List Dedecker,2007,2010,4,2007,,,2014-02-08T21:29:17.858840Z,2021-03-12T10:13:35.196577Z,3728,43,2014-02-09T14:31:06.780328Z
BEL,manifesto,21426,MR,Mouvement Réformateur,Reform Movement,2003,2010,12.5,2007,,,2014-02-08T21:29:12.654758Z,2021-03-12T10:13:35.216051Z,3640,789,2014-02-09T14:30:57.192569Z
BEL,manifesto,21916,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,2003,2010,17.4,2010,,,2014-02-08T21:29:15.890871Z,2021-03-12T10:13:35.230674Z,3694,36,2014-02-09T22:56:07.161353Z
BEL,manifesto,21421,PVV,Open Vlaamse Liberalen en Demokraten,Open Flemish Liberals and Democrats,1971,2010,15.4,2003,,,2013-01-01T18:16:54.352Z,2021-03-12T10:13:35.248369Z,1580,49,2013-01-01T18:33:30.968Z
BEL,manifesto,21420,LP/PL,Partij voor Vrijheid en Vooruitgang/Parti de la Liberté et du Progrès,Party of Liberty and Progress,1946,1968,21.6,1965,,,2013-01-01T18:18:29.709Z,2021-03-12T10:13:35.251757Z,2031,275,2013-01-01T18:33:27.936Z
BEL,manifesto,21424,PL,Parti Libéral,Liberal Party,1971,1978,1.3,1971,,,2013-01-01T18:16:24.017Z,2021-03-12T10:13:35.275337Z,1440,382,2013-01-01T18:33:28.316Z
BEL,manifesto,21422,PLP,Parti Réformateur Libéral,Liberal Reformation Party,1971,1991,10.2,1985,,,2013-01-01T18:18:08.398Z,2021-03-12T10:13:35.287949Z,1928,554,2014-02-15T22:47:37.286668Z
BEL,manifesto,21423,PRL-FDF,Parti Réformateur Libéral - Front Démocratique des Francophones,Liberal Reformation Party - Francophone Democratic Front,1995,1995,10.3,1995,,,2013-01-01T18:18:16.460Z,2021-03-12T10:13:35.316145Z,1967,8259,2020-04-18T01:41:19.559640Z
BEL,manifesto,21425,PRL-FDF-MCC,Parti réformateur libéral - Front Démocratique des Francophones - Mouvement des Citoyens pour la Changement,Liberal Reformation Party - Francophone Democratic Front - Citizens’ Movement for Change,1999,1999,10.1,1999,,,2013-01-01T18:17:36.323Z,2021-03-12T10:13:35.323619Z,1774,8259,2021-03-25T15:12:18.947551Z
BEL,manifesto,21522,PSC,Parti Social Chrétien,Christian Social Party,1968,2010,11.7,1968,,,2013-01-01T18:18:16.226Z,2021-03-12T10:13:35.334048Z,1966,633,2013-01-01T18:33:29.200Z
BEL,manifesto,21520,PSC/CVP,Parti Social Chrétien/Christelijke Volkspartij,Francophone Christian Social Party and Flemish Christian People’s Party,1946,1965,47.7,1950,,,2013-01-01T18:17:29.900Z,2021-03-12T10:13:35.339793Z,1744,405,2013-01-01T18:33:29.592Z
BEL,manifesto,21322,PS,Parti Socialiste,Francophone Socialist Party,1978,2010,15.7,1987,,,2013-01-01T18:17:16.126Z,2021-03-12T10:13:35.354794Z,1680,500,2013-01-01T18:33:29.982Z
BEL,manifesto,21911,RW,Rassemblement Wallon,Walloon Rally,1968,1981,6.7,1971,,,2013-01-01T18:18:03.312Z,2021-03-12T10:13:35.372150Z,1904,281,2013-01-01T18:33:31.559Z
BEL,manifesto,21330,SPIRIT,"Sociaal, Progressief, International, Regionalistisch, Integraal-democratisch en Toekomstgericht","Social, Progressive, International, Regionalist, Integrally Democartic  and Forward-Looking",2007,2007,0,2007,,,2014-02-08T21:29:14.011550Z,2021-03-12T10:13:35.395789Z,3661,7015,2019-05-02T11:49:35.518083Z
BEL,manifesto,21321,SP,Socialistische Partij Anders,Socialist Party Different,1978,2010,14.9,1987,,,2013-01-01T18:16:17.287Z,2021-03-12T10:13:35.407419Z,1410,1680,2013-01-01T18:33:24.909Z
BEL,manifesto,21221,sp.a-SPIRIT,Socialistische Partij Anders - Spirit,Socialist Party Different - Spirit,2003,2007,14.9,2003,,,2014-02-08T21:29:18.946202Z,2021-03-12T10:13:35.411435Z,3744,1586,2014-02-09T14:30:29.599493Z
BEL,manifesto,21917,VB,Vlaams Belang,Flemish Interest,2007,2010,12,2007,,,2014-02-08T21:29:18.478515Z,2021-03-12T10:13:35.423691Z,3738,1968,2014-02-09T14:48:52.404195Z
BEL,manifesto,21914,VB,Vlaams Blok,Flemish Bloc,1978,2003,11.7,2003,,,2013-01-01T18:16:33.901Z,2021-03-12T10:13:35.439074Z,1484,553,2013-01-01T18:33:31.918Z
BOL,manifesto,151255,AS,Alianza Social,Social Alliance,2009,2009,3.9,2009,,,2018-08-02T13:23:09.768655Z,2021-03-12T10:13:35.445690Z,25080,715,2018-08-02T13:24:24.339088Z
BOL,manifesto,151617,APB,Autonomía para Bolivia,Autonomy for Bolivia,2009,2009,0,2009,,,2018-08-02T13:22:58.909166Z,2021-03-12T10:13:35.455365Z,25037,1880,2018-08-03T12:08:16.209477Z
BOL,manifesto,151250,MAS-IPSP,Movimiento Al Socialismo - Instrumento Político por la Soberanía de los Pueblos,Movement towards Socialism - Political Instrument for the Sovereignty of the Peoples,2009,2014,67.6,2014,,,2017-03-13T21:05:06.477043Z,2021-03-12T10:13:35.466358Z,18721,442,2017-03-13T21:07:12.002312Z
BOL,manifesto,151610,MNR,Movimiento Nacionalista Revolucionario,Nationalist Revolutionary Movement,2009,2009,0,2009,,,2018-08-02T13:22:57.987548Z,2021-03-12T10:13:35.502073Z,25033,568,2018-08-02T13:22:58.076615Z
BOL,manifesto,151540,PDC,Partido Demócrata Cristiano,Christian Democratic Party,2014,2014,7.7,2014,,,2017-03-13T21:05:04.305853Z,2021-03-12T10:13:35.530887Z,18706,5139,2017-03-13T21:06:03.881475Z
BOL,manifesto,151062,PPB-CN,Plan Progreso para Bolivia–Convergencia Nacional,Plan Progress for Bolivia – National Convergence,2009,2009,26.9,2009,,,2018-08-02T13:23:00.090321Z,2021-03-12T10:13:35.555543Z,25044,1700,2018-08-02T13:24:28.006070Z
BOL,manifesto,151640,UN,Unidad Democráta,Democratic Union,2009,2014,24.6,2014,,,2017-03-13T21:05:04.115034Z,2021-03-12T10:13:35.573794Z,18704,8858,2021-03-25T16:12:26.831244Z
BIH,manifesto,79957,BPS,Bosanskohercegovacka Patriotska Stranka,Bosnian-Herzegovinian Patriotic Party,2006,2006,2.7,2006,,,2018-08-02T13:23:06.208838Z,2021-03-12T10:13:35.615340Z,25068,3683,2018-08-02T13:23:06.253169Z
