    file  region                                  year unemployment immig
 126 at12h [34]Vorarlberg                          2012            0.345 0.214  
 127 at13h [11]Burgenland                          2013            0.441 0.0843 
 128 at13h [12]Niederösterreich                    2013            0.399 0.0980 
 129 at13h [13]Wien                                2013            0.420 0.285  
 130 at13h [21]Kärnten                             2013            0.440 0.0803 
 131 at13h [22]Steiermark                          2013            0.422 0.0909 
 132 at13h [31]Oberösterreich                      2013            0.381 0.120  
 133 at13h [32]Salzburg                            2013            0.367 0.186  
 134 at13h [33]Tirol                               2013            0.378 0.149  
 135 at13h [34]Vorarlberg                          2013            0.330 0.221  
 136 at14h [11]Burgenland                          2014            0.456 0.0764 
 137 at14h [12]Niederösterreich                    2014            0.406 0.0955 
 138 at14h [13]Wien                                2014            0.413 0.291  
 139 at14h [21]Kärnten                             2014            0.458 0.103  
 140 at14h [22]Steiermark                          2014            0.410 0.0982 
 141 at14h [31]Oberösterreich                      2014            0.379 0.124  
 142 at14h [32]Salzburg                            2014            0.368 0.170  
 143 at14h [33]Tirol                               2014            0.372 0.165  
 144 at14h [34]Vorarlberg                          2014            0.290 0.215  
 145 at15h [11]Burgenland                          2015            0.474 0.0861 
 146 at15h [12]Niederösterreich                    2015            0.411 0.0957 
 147 at15h [13]Wien                                2015            0.415 0.299  
 148 at15h [21]Kärnten                             2015            0.429 0.101  
 149 at15h [22]Steiermark                          2015            0.416 0.107  
 150 at15h [31]Oberösterreich                      2015            0.372 0.125  
 151 at15h [32]Salzburg                            2015            0.384 0.174  
 152 at15h [33]Tirol                               2015            0.360 0.179  
 153 at15h [34]Vorarlberg                          2015            0.343 0.222  
 154 at16h [11]Burgenland                          2016            0.396 0.106  
 155 at16h [12]Niederösterreich                    2016            0.422 0.0962 
 156 at16h [13]Wien                                2016            0.398 0.280  
 157 at16h [21]Kärnten                             2016            0.405 0.112  
 158 at16h [22]Steiermark                          2016            0.397 0.0927 
 159 at16h [31]Oberösterreich                      2016            0.379 0.108  
 160 at16h [32]Salzburg                            2016            0.349 0.158  
 161 at16h [33]Tirol                               2016            0.357 0.188  
 162 at16h [34]Vorarlberg                          2016            0.359 0.216  
 163 at17h [11]Burgenland                          2017            0.432 0.0984 
 164 at17h [12]Niederösterreich                    2017            0.413 0.104  
 165 at17h [13]Wien                                2017            0.391 0.294  
 166 at17h [21]Kärnten                             2017            0.407 0.105  
 167 at17h [22]Steiermark                          2017            0.397 0.103  
 168 at17h [31]Oberösterreich                      2017            0.356 0.111  
 169 at17h [32]Salzburg                            2017            0.367 0.181  
 170 at17h [33]Tirol                               2017            0.344 0.169  
 171 at17h [34]Vorarlberg                          2017            0.347 0.197  
 172 at18h [11]Burgenland                          2018            0.452 0.0754 
 173 at18h [12]Niederösterreich                    2018            0.402 0.112  
 174 at18h [13]Wien                                2018            0.416 0.296  
 175 at18h [21]Kärnten                             2018            0.410 0.122  
 176 at18h [22]Steiermark                          2018            0.392 0.0931 
 177 at18h [31]Oberösterreich                      2018            0.367 0.125  
 178 at18h [32]Salzburg                            2018            0.349 0.199  
 179 at18h [33]Tirol                               2018            0.344 0.145  
 180 at18h [34]Vorarlberg                          2018            0.370 0.230  
 181 at19h [11]Burgenland                          2019            0.495 0.114  
 182 at19h [12]Niederösterreich                    2019            0.420 0.108  
 183 at19h [13]Wien                                2019            0.424 0.294  
 184 at19h [21]Kärnten                             2019            0.419 0.109  
 185 at19h [22]Steiermark                          2019            0.435 0.102  
 186 at19h [31]Oberösterreich                      2019            0.387 0.107  
 187 at19h [32]Salzburg                            2019            0.388 0.208  
 188 at19h [33]Tirol                               2019            0.402 0.134  
 189 at19h [34]Vorarlberg                          2019            0.352 0.208  
 190 at20h [11]Burgenland                          2020            0.458 0.135  
 191 at20h [12]Niederösterreich                    2020            0.399 0.112  
 192 at20h [13]Wien                                2020            0.428 0.306  
 193 at20h [21]Kärnten                             2020            0.430 0.110  
 194 at20h [22]Steiermark                          2020            0.417 0.102  
 195 at20h [31]Oberösterreich                      2020            0.403 0.0886 
 196 at20h [32]Salzburg                            2020            0.408 0.188  
 197 at20h [33]Tirol                               2020            0.408 0.150  
 198 at20h [34]Vorarlberg                          2020            0.341 0.194  
 199 at94h [111]AT111 - Mittelburgenland           1994            0.46  0.01   
 200 at94h [112]AT112 - Nordburgenland             1994            0.341 0      
 201 at94h [113]AT113 - Südburgenland              1994            0.426 0.0321 
 202 at94h [121]AT121 - Mostviertel-Eisenwurzen    1994            0.377 0.0269 
 203 at94h [122]AT122 - Niederösterreich-Süd       1994            0.376 0.101  
 204 at94h [123]AT123 - Sankt Pölten               1994            0.311 0.0226 
 205 at94h [124]AT124 - Waldviertel                1994            0.355 0.0276 
 206 at94h [125]AT125 - Weinviertel                1994            0.372 0.0293 
 207 at94h [126]AT126 - Wiener Umland/Nordteil     1994            0.353 0.0263 
 208 at94h [127]AT127 - Wiener Umland/Südteil      1994            0.36  0.107  
 209 at94h [131]AT131 - Wien                       1994            0.367 0.169  
 210 at94h [211]AT211 - Klagenfurt-Villach         1994            0.387 0.0936 
 211 at94h [212]AT212 - Oberkärnten                1994            0.440 0.0752 
 212 at94h [213]AT213 - Unterkärnten               1994            0.385 0.0160 
 213 at94h [221]AT221 - Graz                       1994            0.535 0.0789 
 214 at94h [222]AT222 - Liezen                     1994            0.328 0.0448 
 215 at94h [223]AT223 - Östliche Obersteiermark    1994            0.385 0.0221 
 216 at94h [224]AT224 - Oststeiermark              1994            0.357 0.00528
 217 at94h [225]AT225 - West- und Südsteiermark    1994            0.388 0.0138 
 218 at94h [226]AT226 - Westliche Obersteiermark   1994            0.393 0.00613
 219 at94h [311]AT311 - Innviertel                 1994            0.312 0.0312 
 220 at94h [312]AT312 - Linz-Wels                  1994            0.369 0.100  
 221 at94h [313]AT313 - Mühlviertel                1994            0.353 0.0256 
 222 at94h [314]AT314 - Steyr-Kirchdorf            1994            0.304 0.0686 
 223 at94h [315]AT315 - Traunviertel               1994            0.379 0.0674 
 224 at94h [321]AT321 - Lungau                     1994            0.256 0      
 225 at94h [322]AT322 - Pinzgau-Pongau             1994            0.310 0.0352 
 226 at94h [323]AT323 - vSalzburg und Umgebung     1994            0.319 0.0486 
 227 at94h [331]AT331 - Außerfern                  1994            0.394 0.0532 
 228 at94h [332]AT332 - Innsbruck                  1994            0.394 0.0585 
 229 at94h [333]AT333 - Osttirol                   1994            0.358 0.0149 
 230 at94h [334]AT334 - Tiroler Oberland           1994            0.306 0.0777 
 231 at94h [335]AT335 - Tiroler Unterland          1994            0.238 0.0238 
 232 at94h [341]AT341 - Bludenz-Bregenzer Wald     1994            0.312 0.0433 
 233 at94h [342]AT342 - Rheintal-Bodenseegebiet    1994            0.320 0.119  
 234 at95h [110]AT11 - Burgenland                  1995            0.2   0      
 235 at95h [111]AT111 - Mittelburgenland           1995            0.429 0.0476 
 236 at95h [112]AT112 - Nordburgenland             1995            0.333 0      
 237 at95h [113]AT113 - Südburgenland              1995            0.365 0.0290 
 238 at95h [120]AT12 - Niederösterreich            1995            0     0      
 239 at95h [121]AT121 - Mostviertel-Eisenwurzen    1995            0.384 0.0290 
 240 at95h [122]AT122 - Niederösterreich-Süd       1995            0.393 0.0410 
 241 at95h [123]AT123 - Sankt Pölten               1995            0.301 0.0215 
 242 at95h [124]AT124 - Waldviertel                1995            0.363 0.0285 
 243 at95h [125]AT125 - Weinviertel                1995            0.360 0.0324 
 244 at95h [126]AT126 - Wiener Umland/Nordteil     1995            0.378 0.0244 
 245 at95h [127]AT127 - Wiener Umland/Südteil      1995            0.362 0.0938 
 246 at95h [131]AT131 - Wien                       1995            0.361 0.155  
 247 at95h [200]AT2 - Südösterreich                1995            0.3   0.1    
 248 at95h [210]AT21 - Kärnten                     1995            0.429 0.286  
 249 at95h [211]AT211 - Klagenfurt-Villach         1995            0.402 0.0871 
 250 at95h [212]AT212 - Oberkärnten                1995            0.403 0.0605 
 251 at95h [213]AT213 - Unterkärnten               1995            0.423 0.0309 
 252 at95h [221]AT221 - Graz                       1995            0.488 0.0670 
 253 at95h [222]AT222 - Liezen                     1995            0.403 0.0299 
 254 at95h [223]AT223 - Östliche Obersteiermark    1995            0.401 0.0230 
 255 at95h [224]AT224 - Oststeiermark              1995            0.347 0.00528
 256 at95h [225]AT225 - West- und Südsteiermark    1995            0.373 0.0114 
 257 at95h [226]AT226 - Westliche Obersteiermark   1995            0.412 0.00676
 258 at95h [300]AT3 - Westösterreich               1995            1     0      
 259 at95h [311]AT311 - Innviertel                 1995            0.320 0.0383 
 260 at95h [312]AT312 - Linz-Wels                  1995            0.389 0.0899 
 261 at95h [313]AT313 - Mühlviertel                1995            0.335 0.0256 
 262 at95h [314]AT314 - Steyr-Kirchdorf            1995            0.255 0.0714 
 263 at95h [315]AT315 - Traunviertel               1995            0.380 0.0525 
 264 at95h [320]AT32 - Salzburg                    1995            1     0      
 265 at95h [321]AT321 - Lungau                     1995            0.225 0      
 266 at95h [322]AT322 - Pinzgau-Pongau             1995            0.309 0.0407 
 267 at95h [323]AT323 - vSalzburg und Umgebung     1995            0.315 0.0573 
 268 at95h [331]AT331 - Außerfern                  1995            0.358 0.0826 
 269 at95h [332]AT332 - Innsbruck                  1995            0.436 0.0606 
 270 at95h [333]AT333 - Osttirol                   1995            0.389 0.00794
 271 at95h [334]AT334 - Tiroler Oberland           1995            0.276 0.0841 
 272 at95h [335]AT335 - Tiroler Unterland          1995            0.290 0.0381 
 273 at95h [341]AT341 - Bludenz-Bregenzer Wald     1995            0.306 0.0485 
 274 at95h [342]AT342 - Rheintal-Bodenseegebiet    1995            0.302 0.128  
 275 at96h [110]AT11 - Burgenland                  1996            0.429 0      
 276 at96h [111]AT111 - Mittelburgenland           1996            0.471 0.0196 
 277 at96h [112]AT112 - Nordburgenland             1996            0.377 0      
 278 at96h [113]AT113 - Südburgenland              1996            0.382 0.0325 
 279 at96h [120]AT12 - Niederösterreich            1996            0     0      
 280 at96h [121]AT121 - Mostviertel-Eisenwurzen    1996            0.370 0.0278 
 281 at96h [122]AT122 - Niederösterreich-Süd       1996            0.378 0.0402 
 282 at96h [123]AT123 - Sankt Pölten               1996            0.321 0.0163 
 283 at96h [124]AT124 - Waldviertel                1996            0.382 0.0273 
 284 at96h [125]AT125 - Weinviertel                1996            0.381 0.0298 
 285 at96h [126]AT126 - Wiener Umland/Nordteil     1996            0.358 0.0473 
 286 at96h [127]AT127 - Wiener Umland/Südteil      1996            0.399 0.0909 
 287 at96h [131]AT131 - Wien                       1996            0.378 0.128  
 288 at96h [200]AT2 - Südösterreich                1996            0.25  0      
 289 at96h [210]AT21 - Kärnten                     1996            0.429 0.286  
 290 at96h [211]AT211 - Klagenfurt-Villach         1996            0.403 0.0823 
 291 at96h [212]AT212 - Oberkärnten                1996            0.436 0.0598 
 292 at96h [213]AT213 - Unterkärnten               1996            0.432 0.0164 
 293 at96h [221]AT221 - Graz                       1996            0.521 0.0825 
 294 at96h [222]AT222 - Liezen                     1996            0.435 0.0323 
 295 at96h [223]AT223 - Östliche Obersteiermark    1996            0.398 0.0204 
 296 at96h [224]AT224 - Oststeiermark              1996            0.365 0.00564
 297 at96h [225]AT225 - West- und Südsteiermark    1996            0.418 0.0118 
 298 at96h [226]AT226 - Westliche Obersteiermark   1996            0.406 0.00699
 299 at96h [300]AT3 - Westösterreich               1996            0.5   0      
 300 at96h [311]AT311 - Innviertel                 1996            0.316 0.0399 
 301 at96h [312]AT312 - Linz-Wels                  1996            0.416 0.0955 
 302 at96h [313]AT313 - Mühlviertel                1996            0.35  0.0267 
 303 at96h [314]AT314 - Steyr-Kirchdorf            1996            0.299 0.0805 
 304 at96h [315]AT315 - Traunviertel               1996            0.395 0.0584 
 305 at96h [320]AT32 - Salzburg                    1996            1     0      
 306 at96h [321]AT321 - Lungau                     1996            0.263 0.0263 
 307 at96h [322]AT322 - Pinzgau-Pongau             1996            0.317 0.0417 
 308 at96h [323]AT323 - vSalzburg und Umgebung     1996            0.316 0.0638 
 309 at96h [331]AT331 - Außerfern                  1996            0.383 0.0870 
 310 at96h [332]AT332 - Innsbruck                  1996            0.440 0.0503 
 311 at96h [333]AT333 - Osttirol                   1996            0.308 0.0154 
 312 at96h [334]AT334 - Tiroler Oberland           1996            0.343 0.0756 
 313 at96h [335]AT335 - Tiroler Unterland          1996            0.337 0.0153 
 314 at96h [341]AT341 - Bludenz-Bregenzer Wald     1996            0.297 0.0469 
 315 at96h [342]AT342 - Rheintal-Bodenseegebiet    1996            0.308 0.134  
 316 at96h <NA>                                    1996            0.229 0      
 317 at97h [111]AT111 - Mittelburgenland           1997            0.495 0.0215 
 318 at97h [112]AT112 - Nordburgenland             1997            0.3   0      
 319 at97h [113]AT113 - Südburgenland              1997            0.410 0.0299 
 320 at97h [121]AT121 - Mostviertel-Eisenwurzen    1997            0.397 0.0293 
 321 at97h [122]AT122 - Niederösterreich-Süd       1997            0.380 0.0393 
 322 at97h [123]AT123 - Sankt Pölten               1997            0.348 0.0109 
 323 at97h [124]AT124 - Waldviertel                1997            0.381 0.0200 
 324 at97h [125]AT125 - Weinviertel                1997            0.379 0.0357 
 325 at97h [126]AT126 - Wiener Umland/Nordteil     1997            0.436 0.0376 
 326 at97h [127]AT127 - Wiener Umland/Südteil      1997            0.434 0.0956 
 327 at97h [131]AT131 - Wien                       1997            0.393 0.136  
 328 at97h [211]AT211 - Klagenfurt-Villach         1997            0.434 0.0841 
 329 at97h [212]AT212 - Oberkärnten                1997            0.463 0.0417 
 330 at97h [213]AT213 - Unterkärnten               1997            0.402 0.0217 
 331 at97h [221]AT221 - Graz                       1997            0.532 0.0696 
 332 at97h [222]AT222 - Liezen                     1997            0.387 0.0323 
 333 at97h [223]AT223 - Östliche Obersteiermark    1997            0.374 0.0165 
 334 at97h [224]AT224 - Oststeiermark              1997            0.350 0.00199
 335 at97h [225]AT225 - West- und Südsteiermark    1997            0.394 0.00612
 336 at97h [226]AT226 - Westliche Obersteiermark   1997            0.418 0.00746
 337 at97h [311]AT311 - Innviertel                 1997            0.317 0.0421 
 338 at97h [312]AT312 - Linz-Wels                  1997            0.415 0.0960 
 339 at97h [313]AT313 - Mühlviertel                1997            0.350 0.0217 
 340 at97h [314]AT314 - Steyr-Kirchdorf            1997            0.311 0.0541 
 341 at97h [315]AT315 - Traunviertel               1997            0.371 0.0734 
 342 at97h [321]AT321 - Lungau                     1997            0.289 0      
 343 at97h [322]AT322 - Pinzgau-Pongau             1997            0.354 0.0208 
 344 at97h [323]AT323 - vSalzburg und Umgebung     1997            0.317 0.0522 
 345 at97h [331]AT331 - Außerfern                  1997            0.380 0.0543 
 346 at97h [332]AT332 - Innsbruck                  1997            0.463 0.0368 
 347 at97h [333]AT333 - Osttirol                   1997            0.331 0      
 348 at97h [334]AT334 - Tiroler Oberland           1997            0.372 0.0897 
 349 at97h [335]AT335 - Tiroler Unterland          1997            0.313 0.0168 
 350 at97h [341]AT341 - Bludenz-Bregenzer Wald     1997            0.295 0.0492 
 351 at97h [342]AT342 - Rheintal-Bodenseegebiet    1997            0.358 0.142  
 352 at97h <NA>                                    1997            0.223 0.117  
 353 at98h [111]AT111 - Mittelburgenland           1998            0.506 0.0130 
 354 at98h [112]AT112 - Nordburgenland             1998            0.291 0.0182 
 355 at98h [113]AT113 - Südburgenland              1998            0.416 0.0287 
 356 at98h [121]AT121 - Mostviertel-Eisenwurzen    1998            0.364 0.0265 
 357 at98h [122]AT122 - Niederösterreich-Süd       1998            0.397 0.0299 
 358 at98h [123]AT123 - Sankt Pölten               1998            0.337 0.0163 
 359 at98h [124]AT124 - Waldviertel                1998            0.409 0.0165 
 360 at98h [125]AT125 - Weinviertel                1998            0.389 0.0353 
 361 at98h [126]AT126 - Wiener Umland/Nordteil     1998            0.420 0.0336 
 362 at98h [127]AT127 - Wiener Umland/Südteil      1998            0.4   0.1    
 363 at98h [131]AT131 - Wien                       1998            0.398 0.127  
 364 at98h [210]AT21 - Kärnten                     1998            0.75  0      
 365 at98h [211]AT211 - Klagenfurt-Villach         1998            0.425 0.0888 
 366 at98h [212]AT212 - Oberkärnten                1998            0.440 0.0602 
 367 at98h [213]AT213 - Unterkärnten               1998            0.362 0.0213 
 368 at98h [221]AT221 - Graz                       1998            0.533 0.0921 
 369 at98h [222]AT222 - Liezen                     1998            0.328 0.0345 
 370 at98h [223]AT223 - Östliche Obersteiermark    1998            0.358 0.0170 
 371 at98h [224]AT224 - Oststeiermark              1998            0.357 0.00212
 372 at98h [225]AT225 - West- und Südsteiermark    1998            0.417 0.00667
 373 at98h [226]AT226 - Westliche Obersteiermark   1998            0.384 0.008  
 374 at98h [311]AT311 - Innviertel                 1998            0.304 0.0473 
 375 at98h [312]AT312 - Linz-Wels                  1998            0.386 0.0898 
 376 at98h [313]AT313 - Mühlviertel                1998            0.346 0.0214 
 377 at98h [314]AT314 - Steyr-Kirchdorf            1998            0.299 0.0519 
 378 at98h [315]AT315 - Traunviertel               1998            0.408 0.0651 
 379 at98h [321]AT321 - Lungau                     1998            0.294 0      
 380 at98h [322]AT322 - Pinzgau-Pongau             1998            0.349 0.0482 
 381 at98h [323]AT323 - vSalzburg und Umgebung     1998            0.282 0.0605 
 382 at98h [331]AT331 - Außerfern                  1998            0.359 0.120  
 383 at98h [332]AT332 - Innsbruck                  1998            0.463 0.0448 
 384 at98h [333]AT333 - Osttirol                   1998            0.333 0.00813
 385 at98h [334]AT334 - Tiroler Oberland           1998            0.399 0.0699 
 386 at98h [335]AT335 - Tiroler Unterland          1998            0.310 0.0160 
 387 at98h [341]AT341 - Bludenz-Bregenzer Wald     1998            0.315 0.0424 
 388 at98h [342]AT342 - Rheintal-Bodenseegebiet    1998            0.331 0.142  
 389 at98h <NA>                                    1998            0.141 0.0282 
 390 at99h [111]AT111 - Mittelburgenland           1999            0.528 0.0139 
 391 at99h [112]AT112 - Nordburgenland             1999            0.278 0.0185 
 392 at99h [113]AT113 - Südburgenland              1999            0.441 0.0294 
 393 at99h [121]AT121 - Mostviertel-Eisenwurzen    1999            0.391 0.0277 
 394 at99h [122]AT122 - Niederösterreich-Süd       1999            0.372 0.0183 
 395 at99h [123]AT123 - Sankt Pölten               1999            0.315 0.0182 
 396 at99h [124]AT124 - Waldviertel                1999            0.417 0.0182 
 397 at99h [125]AT125 - Weinviertel                1999            0.382 0.0321 
 398 at99h [126]AT126 - Wiener Umland/Nordteil     1999            0.407 0.0185 
 399 at99h [127]AT127 - Wiener Umland/Südteil      1999            0.4   0.0963 
 400 at99h [131]AT131 - Wien                       1999            0.397 0.138  
 401 at99h [211]AT211 - Klagenfurt-Villach         1999            0.461 0.0933 
 402 at99h [212]AT212 - Oberkärnten                1999            0.415 0.0599 
 403 at99h [213]AT213 - Unterkärnten               1999            0.367 0.0204 
 404 at99h [221]AT221 - Graz                       1999            0.483 0.0966 
 405 at99h [222]AT222 - Liezen                     1999            0.309 0.0364 
 406 at99h [223]AT223 - Östliche Obersteiermark    1999            0.390 0.0189 
 407 at99h [224]AT224 - Oststeiermark              1999            0.357 0.00219
 408 at99h [225]AT225 - West- und Südsteiermark    1999            0.42  0.00667
 409 at99h [226]AT226 - Westliche Obersteiermark   1999            0.341 0.00741
 410 at99h [311]AT311 - Innviertel                 1999            0.321 0.0482 
 411 at99h [312]AT312 - Linz-Wels                  1999            0.404 0.0932 
 412 at99h [313]AT313 - Mühlviertel                1999            0.366 0.0189 
 413 at99h [314]AT314 - Steyr-Kirchdorf            1999            0.311 0.0405 
 414 at99h [315]AT315 - Traunviertel               1999            0.386 0.0650 
 415 at99h [321]AT321 - Lungau                     1999            0.265 0      
 416 at99h [322]AT322 - Pinzgau-Pongau             1999            0.341 0.0455 
 417 at99h [323]AT323 - vSalzburg und Umgebung     1999            0.291 0.0670 
 418 at99h [331]AT331 - Außerfern                  1999            0.28  0.12   
 419 at99h [332]AT332 - Innsbruck                  1999            0.466 0.0431 
 420 at99h [333]AT333 - Osttirol                   1999            0.292 0.00769
 421 at99h [334]AT334 - Tiroler Oberland           1999            0.402 0.0940 
