    region                      year avg_gini
316 Limousin                    2018    0.289
317 Lorraine                    1996    0.291
318 Lorraine                    1997    0.294
319 Lorraine                    1998    0.286
320 Lorraine                    1999    0.292
321 Lorraine                    2000    0.300
322 Lorraine                    2001    0.290
323 Lorraine                    2002    0.294
324 Lorraine                    2003    0.290
325 Lorraine                    2004    0.302
326 Lorraine                    2005    0.326
327 Lorraine                    2006    0.323
328 Lorraine                    2007    0.321
329 Lorraine                    2008    0.299
330 Lorraine                    2009    0.298
331 Lorraine                    2010    0.314
332 Lorraine                    2011    0.327
333 Lorraine                    2012    0.334
334 Lorraine                    2013    0.331
335 Lorraine                    2014    0.298
336 Lorraine                    2015    0.316
337 Lorraine                    2016    0.311
338 Lorraine                    2017    0.324
339 Lorraine                    2018    0.303
340 Midi-Pyrénées               1996    0.313
341 Midi-Pyrénées               1997    0.351
342 Midi-Pyrénées               1998    0.323
343 Midi-Pyrénées               1999    0.315
344 Midi-Pyrénées               2000    0.310
345 Midi-Pyrénées               2001    0.311
346 Midi-Pyrénées               2002    0.287
347 Midi-Pyrénées               2003    0.310
348 Midi-Pyrénées               2004    0.321
349 Midi-Pyrénées               2005    0.304
350 Midi-Pyrénées               2006    0.331
351 Midi-Pyrénées               2007    0.337
352 Midi-Pyrénées               2008    0.328
353 Midi-Pyrénées               2009    0.345
354 Midi-Pyrénées               2010    0.313
355 Midi-Pyrénées               2011    0.315
356 Midi-Pyrénées               2012    0.330
357 Midi-Pyrénées               2013    0.324
358 Midi-Pyrénées               2014    0.355
359 Midi-Pyrénées               2015    0.349
360 Midi-Pyrénées               2016    0.308
361 Midi-Pyrénées               2017    0.325
362 Midi-Pyrénées               2018    0.318
363 Nord-Pas de Calais          1996    0.274
364 Nord-Pas de Calais          1997    0.296
365 Nord-Pas de Calais          1998    0.279
366 Nord-Pas de Calais          1999    0.280
367 Nord-Pas de Calais          2000    0.307
368 Nord-Pas de Calais          2001    0.311
369 Nord-Pas de Calais          2002    0.302
370 Nord-Pas de Calais          2003    0.294
371 Nord-Pas de Calais          2004    0.296
372 Nord-Pas de Calais          2005    0.319
373 Nord-Pas de Calais          2006    0.296
374 Nord-Pas de Calais          2007    0.297
375 Nord-Pas de Calais          2008    0.309
376 Nord-Pas de Calais          2009    0.342
377 Nord-Pas de Calais          2010    0.330
378 Nord-Pas de Calais          2011    0.321
379 Nord-Pas de Calais          2012    0.309
380 Nord-Pas de Calais          2013    0.312
381 Nord-Pas de Calais          2014    0.318
382 Nord-Pas de Calais          2015    0.318
383 Nord-Pas de Calais          2016    0.312
384 Nord-Pas de Calais          2017    0.301
385 Nord-Pas de Calais          2018    0.309
386 Pays de la Loire            1996    0.265
387 Pays de la Loire            1997    0.294
388 Pays de la Loire            1998    0.285
389 Pays de la Loire            1999    0.290
390 Pays de la Loire            2000    0.306
391 Pays de la Loire            2001    0.296
392 Pays de la Loire            2002    0.301
393 Pays de la Loire            2003    0.296
394 Pays de la Loire            2004    0.311
395 Pays de la Loire            2005    0.340
396 Pays de la Loire            2006    0.303
397 Pays de la Loire            2007    0.315
398 Pays de la Loire            2008    0.313
399 Pays de la Loire            2009    0.316
400 Pays de la Loire            2010    0.333
401 Pays de la Loire            2011    0.318
402 Pays de la Loire            2012    0.302
403 Pays de la Loire            2013    0.298
404 Pays de la Loire            2014    0.294
405 Pays de la Loire            2015    0.292
406 Pays de la Loire            2016    0.282
407 Pays de la Loire            2017    0.291
408 Pays de la Loire            2018    0.332
409 Picardie                    1996    0.292
410 Picardie                    1997    0.285
411 Picardie                    1998    0.282
412 Picardie                    1999    0.281
413 Picardie                    2000    0.275
414 Picardie                    2001    0.282
415 Picardie                    2002    0.289
416 Picardie                    2003    0.284
417 Picardie                    2004    0.284
418 Picardie                    2005    0.285
419 Picardie                    2006    0.301
420 Picardie                    2007    0.306
421 Picardie                    2008    0.314
422 Picardie                    2009    0.287
423 Picardie                    2010    0.294
424 Picardie                    2011    0.303
425 Picardie                    2012    0.329
426 Picardie                    2013    0.305
427 Picardie                    2014    0.300
428 Picardie                    2015    0.292
429 Picardie                    2016    0.293
430 Picardie                    2017    0.299
431 Picardie                    2018    0.285
432 Poitou-Charentes            1996    0.312
433 Poitou-Charentes            1997    0.310
434 Poitou-Charentes            1998    0.292
435 Poitou-Charentes            1999    0.304
436 Poitou-Charentes            2000    0.306
437 Poitou-Charentes            2001    0.306
438 Poitou-Charentes            2002    0.314
439 Poitou-Charentes            2003    0.330
440 Poitou-Charentes            2004    0.303
441 Poitou-Charentes            2005    0.315
442 Poitou-Charentes            2006    0.315
443 Poitou-Charentes            2007    0.317
444 Poitou-Charentes            2008    0.311
445 Poitou-Charentes            2009    0.352
446 Poitou-Charentes            2010    0.299
447 Poitou-Charentes            2011    0.302
448 Poitou-Charentes            2012    0.281
449 Poitou-Charentes            2013    0.282
450 Poitou-Charentes            2014    0.294
451 Poitou-Charentes            2015    0.292
452 Poitou-Charentes            2016    0.295
453 Poitou-Charentes            2017    0.286
454 Poitou-Charentes            2018    0.288
455 Provence-Alpes-Côte-d'Azur  2002    0.331
456 Provence-Alpes-Côte-d'Azur  2003    0.324
457 Provence-Alpes-Côte-d'Azur  2004    0.310
458 Provence-Alpes-Côte-d'Azur  2005    0.312
459 Provence-Alpes-Côte-d'Azur  2006    0.314
460 Provence-Alpes-Côte-d'Azur  2007    0.339
461 Provence-Alpes-Côte-d'Azur  2008    0.322
462 Provence-Alpes-Côte-d'Azur  2009    0.322
463 Provence-Alpes-Côte-d'Azur  2010    0.334
464 Provence-Alpes-Côte-d'Azur  2011    0.343
465 Provence-Alpes-Côte-d'Azur  2012    0.340
466 Provence-Alpes-Côte-d'Azur  2013    0.327
467 Provence-Alpes-Côte-d'Azur  2014    0.329
468 Provence-Alpes-Côte-d'Azur  2015    0.343
469 Provence-Alpes-Côte-d'Azur  2016    0.318
470 Provence-Alpes-Côte-d'Azur  2017    0.326
471 Provence-Alpes-Côte-d'Azur  2018    0.337
472 Provence-Côte d'Azur-Corse  1996    0.296
473 Provence-Côte d'Azur-Corse  1997    0.299
474 Provence-Côte d'Azur-Corse  1998    0.302
475 Provence-Côte d'Azur-Corse  1999    0.310
476 Provence-Côte d'Azur-Corse  2000    0.315
477 Provence-Côte d'Azur-Corse  2001    0.302
478 Rhône-Alpes                 1996    0.312
479 Rhône-Alpes                 1997    0.299
480 Rhône-Alpes                 1998    0.296
481 Rhône-Alpes                 1999    0.313
482 Rhône-Alpes                 2000    0.308
483 Rhône-Alpes                 2001    0.301
484 Rhône-Alpes                 2002    0.294
485 Rhône-Alpes                 2003    0.304
486 Rhône-Alpes                 2004    0.325
487 Rhône-Alpes                 2005    0.318
488 Rhône-Alpes                 2006    0.321
489 Rhône-Alpes                 2007    0.312
490 Rhône-Alpes                 2008    0.303
491 Rhône-Alpes                 2009    0.316
492 Rhône-Alpes                 2010    0.324
493 Rhône-Alpes                 2011    0.334
494 Rhône-Alpes                 2012    0.330
495 Rhône-Alpes                 2013    0.305
496 Rhône-Alpes                 2014    0.319
497 Rhône-Alpes                 2015    0.329
498 Rhône-Alpes                 2016    0.322
499 Rhône-Alpes                 2017    0.308
500 Rhône-Alpes                 2018    0.316
