    file  region                                  year avg_gini
  86 at08h [22]Steiermark                          2008   0.287 
  87 at08h [31]Oberösterreich                      2008   0.297 
  88 at08h [32]Salzburg                            2008   0.312 
  89 at08h [33]Tirol                               2008   0.332 
  90 at08h [34]Vorarlberg                          2008   0.309 
  91 at09h [11]Burgenland                          2009   0.300 
  92 at09h [12]Niederösterreich                    2009   0.303 
  93 at09h [13]Wien                                2009   0.373 
  94 at09h [21]Kärnten                             2009   0.281 
  95 at09h [22]Steiermark                          2009   0.308 
  96 at09h [31]Oberösterreich                      2009   0.293 
  97 at09h [32]Salzburg                            2009   0.330 
  98 at09h [33]Tirol                               2009   0.310 
  99 at09h [34]Vorarlberg                          2009   0.299 
 100 at10h [11]Burgenland                          2010   0.304 
 101 at10h [12]Niederösterreich                    2010   0.298 
 102 at10h [13]Wien                                2010   0.357 
 103 at10h [21]Kärnten                             2010   0.293 
 104 at10h [22]Steiermark                          2010   0.311 
 105 at10h [31]Oberösterreich                      2010   0.281 
 106 at10h [32]Salzburg                            2010   0.304 
 107 at10h [33]Tirol                               2010   0.311 
 108 at10h [34]Vorarlberg                          2010   0.292 
 109 at11h [11]Burgenland                          2011   0.282 
 110 at11h [12]Niederösterreich                    2011   0.294 
 111 at11h [13]Wien                                2011   0.372 
 112 at11h [21]Kärnten                             2011   0.295 
 113 at11h [22]Steiermark                          2011   0.319 
 114 at11h [31]Oberösterreich                      2011   0.273 
 115 at11h [32]Salzburg                            2011   0.348 
 116 at11h [33]Tirol                               2011   0.312 
 117 at11h [34]Vorarlberg                          2011   0.288 
 118 at12h [11]Burgenland                          2012   0.279 
 119 at12h [12]Niederösterreich                    2012   0.303 
 120 at12h [13]Wien                                2012   0.350 
 121 at12h [21]Kärnten                             2012   0.309 
 122 at12h [22]Steiermark                          2012   0.305 
 123 at12h [31]Oberösterreich                      2012   0.283 
 124 at12h [32]Salzburg                            2012   0.318 
 125 at12h [33]Tirol                               2012   0.306 
 126 at12h [34]Vorarlberg                          2012   0.340 
 127 at13h [11]Burgenland                          2013   0.274 
 128 at13h [12]Niederösterreich                    2013   0.289 
 129 at13h [13]Wien                                2013   0.345 
 130 at13h [21]Kärnten                             2013   0.301 
 131 at13h [22]Steiermark                          2013   0.300 
 132 at13h [31]Oberösterreich                      2013   0.275 
 133 at13h [32]Salzburg                            2013   0.316 
 134 at13h [33]Tirol                               2013   0.282 
 135 at13h [34]Vorarlberg                          2013   0.295 
 136 at14h [11]Burgenland                          2014   0.279 
 137 at14h [12]Niederösterreich                    2014   0.286 
 138 at14h [13]Wien                                2014   0.337 
 139 at14h [21]Kärnten                             2014   0.291 
 140 at14h [22]Steiermark                          2014   0.294 
 141 at14h [31]Oberösterreich                      2014   0.274 
 142 at14h [32]Salzburg                            2014   0.289 
 143 at14h [33]Tirol                               2014   0.292 
 144 at14h [34]Vorarlberg                          2014   0.311 
 145 at15h [11]Burgenland                          2015   0.282 
 146 at15h [12]Niederösterreich                    2015   0.278 
 147 at15h [13]Wien                                2015   0.357 
 148 at15h [21]Kärnten                             2015   0.282 
 149 at15h [22]Steiermark                          2015   0.279 
 150 at15h [31]Oberösterreich                      2015   0.281 
 151 at15h [32]Salzburg                            2015   0.275 
 152 at15h [33]Tirol                               2015   0.285 
 153 at15h [34]Vorarlberg                          2015   0.328 
 154 at16h [11]Burgenland                          2016   0.284 
 155 at16h [12]Niederösterreich                    2016   0.293 
 156 at16h [13]Wien                                2016   0.356 
 157 at16h [21]Kärnten                             2016   0.309 
 158 at16h [22]Steiermark                          2016   0.295 
 159 at16h [31]Oberösterreich                      2016   0.294 
 160 at16h [32]Salzburg                            2016   0.315 
 161 at16h [33]Tirol                               2016   0.284 
 162 at16h [34]Vorarlberg                          2016   0.325 
 163 at17h [11]Burgenland                          2017   0.286 
 164 at17h [12]Niederösterreich                    2017   0.289 
 165 at17h [13]Wien                                2017   0.344 
 166 at17h [21]Kärnten                             2017   0.304 
 167 at17h [22]Steiermark                          2017   0.304 
 168 at17h [31]Oberösterreich                      2017   0.293 
 169 at17h [32]Salzburg                            2017   0.299 
 170 at17h [33]Tirol                               2017   0.302 
 171 at17h [34]Vorarlberg                          2017   0.324 
 172 at18h [11]Burgenland                          2018   0.334 
 173 at18h [12]Niederösterreich                    2018   0.290 
 174 at18h [13]Wien                                2018   0.343 
 175 at18h [21]Kärnten                             2018   0.312 
 176 at18h [22]Steiermark                          2018   0.295 
 177 at18h [31]Oberösterreich                      2018   0.291 
 178 at18h [32]Salzburg                            2018   0.276 
 179 at18h [33]Tirol                               2018   0.306 
 180 at18h [34]Vorarlberg                          2018   0.339 
 181 at19h [11]Burgenland                          2019   0.260 
 182 at19h [12]Niederösterreich                    2019   0.288 
 183 at19h [13]Wien                                2019   0.331 
 184 at19h [21]Kärnten                             2019   0.309 
 185 at19h [22]Steiermark                          2019   0.312 
 186 at19h [31]Oberösterreich                      2019   0.299 
 187 at19h [32]Salzburg                            2019   0.290 
 188 at19h [33]Tirol                               2019   0.311 
 189 at19h [34]Vorarlberg                          2019   0.325 
 190 at20h [11]Burgenland                          2020   0.264 
 191 at20h [12]Niederösterreich                    2020   0.297 
 192 at20h [13]Wien                                2020   0.327 
 193 at20h [21]Kärnten                             2020   0.290 
 194 at20h [22]Steiermark                          2020   0.319 
 195 at20h [31]Oberösterreich                      2020   0.294 
 196 at20h [32]Salzburg                            2020   0.283 
 197 at20h [33]Tirol                               2020   0.317 
 198 at20h [34]Vorarlberg                          2020   0.336 
 199 at94h [111]AT111 - Mittelburgenland           1994   0.301 
 200 at94h [112]AT112 - Nordburgenland             1994   0.216 
 201 at94h [113]AT113 - Südburgenland              1994   0.287 
 202 at94h [121]AT121 - Mostviertel-Eisenwurzen    1994   0.346 
 203 at94h [122]AT122 - Niederösterreich-Süd       1994   0.322 
 204 at94h [123]AT123 - Sankt Pölten               1994   0.342 
 205 at94h [124]AT124 - Waldviertel                1994   0.334 
 206 at94h [125]AT125 - Weinviertel                1994   0.313 
 207 at94h [126]AT126 - Wiener Umland/Nordteil     1994   0.229 
 208 at94h [127]AT127 - Wiener Umland/Südteil      1994   0.340 
 209 at94h [131]AT131 - Wien                       1994   0.327 
 210 at94h [211]AT211 - Klagenfurt-Villach         1994   0.276 
 211 at94h [212]AT212 - Oberkärnten                1994   0.282 
 212 at94h [213]AT213 - Unterkärnten               1994   0.303 
 213 at94h [221]AT221 - Graz                       1994   0.306 
 214 at94h [222]AT222 - Liezen                     1994   0.328 
 215 at94h [223]AT223 - Östliche Obersteiermark    1994   0.290 
 216 at94h [224]AT224 - Oststeiermark              1994   0.275 
 217 at94h [225]AT225 - West- und Südsteiermark    1994   0.293 
 218 at94h [226]AT226 - Westliche Obersteiermark   1994   0.262 
 219 at94h [311]AT311 - Innviertel                 1994   0.324 
 220 at94h [312]AT312 - Linz-Wels                  1994   0.302 
 221 at94h [313]AT313 - Mühlviertel                1994   0.289 
 222 at94h [314]AT314 - Steyr-Kirchdorf            1994   0.298 
 223 at94h [315]AT315 - Traunviertel               1994   0.398 
 224 at94h [321]AT321 - Lungau                     1994   0.222 
 225 at94h [322]AT322 - Pinzgau-Pongau             1994   0.229 
 226 at94h [323]AT323 - vSalzburg und Umgebung     1994   0.270 
 227 at94h [331]AT331 - Außerfern                  1994   0.327 
 228 at94h [332]AT332 - Innsbruck                  1994   0.354 
 229 at94h [333]AT333 - Osttirol                   1994   0.235 
 230 at94h [334]AT334 - Tiroler Oberland           1994   0.302 
 231 at94h [335]AT335 - Tiroler Unterland          1994   0.273 
 232 at94h [341]AT341 - Bludenz-Bregenzer Wald     1994   0.274 
 233 at94h [342]AT342 - Rheintal-Bodenseegebiet    1994   0.279 
 234 at95h [110]AT11 - Burgenland                  1995   0     
 235 at95h [111]AT111 - Mittelburgenland           1995   0.280 
 236 at95h [112]AT112 - Nordburgenland             1995   0.180 
 237 at95h [113]AT113 - Südburgenland              1995   0.264 
 238 at95h [120]AT12 - Niederösterreich            1995   0     
 239 at95h [121]AT121 - Mostviertel-Eisenwurzen    1995   0.290 
 240 at95h [122]AT122 - Niederösterreich-Süd       1995   0.307 
 241 at95h [123]AT123 - Sankt Pölten               1995   0.289 
 242 at95h [124]AT124 - Waldviertel                1995   0.322 
 243 at95h [125]AT125 - Weinviertel                1995   0.385 
 244 at95h [126]AT126 - Wiener Umland/Nordteil     1995   0.295 
 245 at95h [127]AT127 - Wiener Umland/Südteil      1995   0.272 
 246 at95h [131]AT131 - Wien                       1995   0.300 
 247 at95h [200]AT2 - Südösterreich                1995   0.174 
 248 at95h [210]AT21 - Kärnten                     1995   0.386 
 249 at95h [211]AT211 - Klagenfurt-Villach         1995   0.288 
 250 at95h [212]AT212 - Oberkärnten                1995   0.313 
 251 at95h [213]AT213 - Unterkärnten               1995   0.250 
 252 at95h [221]AT221 - Graz                       1995   0.287 
 253 at95h [222]AT222 - Liezen                     1995   0.285 
 254 at95h [223]AT223 - Östliche Obersteiermark    1995   0.249 
 255 at95h [224]AT224 - Oststeiermark              1995   0.232 
 256 at95h [225]AT225 - West- und Südsteiermark    1995   0.280 
 257 at95h [226]AT226 - Westliche Obersteiermark   1995   0.226 
 258 at95h [300]AT3 - Westösterreich               1995   0     
 259 at95h [311]AT311 - Innviertel                 1995   0.340 
 260 at95h [312]AT312 - Linz-Wels                  1995   0.305 
 261 at95h [313]AT313 - Mühlviertel                1995   0.269 
 262 at95h [314]AT314 - Steyr-Kirchdorf            1995   0.262 
 263 at95h [315]AT315 - Traunviertel               1995   0.282 
 264 at95h [320]AT32 - Salzburg                    1995   0     
 265 at95h [321]AT321 - Lungau                     1995   0.326 
 266 at95h [322]AT322 - Pinzgau-Pongau             1995   0.233 
 267 at95h [323]AT323 - vSalzburg und Umgebung     1995   0.302 
 268 at95h [331]AT331 - Außerfern                  1995   0.232 
 269 at95h [332]AT332 - Innsbruck                  1995   0.274 
 270 at95h [333]AT333 - Osttirol                   1995   0.184 
 271 at95h [334]AT334 - Tiroler Oberland           1995   0.262 
 272 at95h [335]AT335 - Tiroler Unterland          1995   0.283 
 273 at95h [341]AT341 - Bludenz-Bregenzer Wald     1995   0.299 
 274 at95h [342]AT342 - Rheintal-Bodenseegebiet    1995   0.394 
 275 at96h [110]AT11 - Burgenland                  1996   0     
 276 at96h [111]AT111 - Mittelburgenland           1996   0.270 
 277 at96h [112]AT112 - Nordburgenland             1996   0.194 
 278 at96h [113]AT113 - Südburgenland              1996   0.263 
 279 at96h [120]AT12 - Niederösterreich            1996   0     
 280 at96h [121]AT121 - Mostviertel-Eisenwurzen    1996   0.301 
 281 at96h [122]AT122 - Niederösterreich-Süd       1996   0.298 
 282 at96h [123]AT123 - Sankt Pölten               1996   0.261 
 283 at96h [124]AT124 - Waldviertel                1996   0.305 
 284 at96h [125]AT125 - Weinviertel                1996   0.303 
 285 at96h [126]AT126 - Wiener Umland/Nordteil     1996   0.262 
 286 at96h [127]AT127 - Wiener Umland/Südteil      1996   0.285 
 287 at96h [131]AT131 - Wien                       1996   0.291 
 288 at96h [200]AT2 - Südösterreich                1996   0     
 289 at96h [210]AT21 - Kärnten                     1996   0.120 
 290 at96h [211]AT211 - Klagenfurt-Villach         1996   0.284 
 291 at96h [212]AT212 - Oberkärnten                1996   0.291 
 292 at96h [213]AT213 - Unterkärnten               1996   0.280 
 293 at96h [221]AT221 - Graz                       1996   0.313 
 294 at96h [222]AT222 - Liezen                     1996   0.248 
 295 at96h [223]AT223 - Östliche Obersteiermark    1996   0.263 
 296 at96h [224]AT224 - Oststeiermark              1996   0.280 
 297 at96h [225]AT225 - West- und Südsteiermark    1996   0.289 
 298 at96h [226]AT226 - Westliche Obersteiermark   1996   0.266 
 299 at96h [300]AT3 - Westösterreich               1996   0     
 300 at96h [311]AT311 - Innviertel                 1996   0.315 
 301 at96h [312]AT312 - Linz-Wels                  1996   0.310 
 302 at96h [313]AT313 - Mühlviertel                1996   0.279 
 303 at96h [314]AT314 - Steyr-Kirchdorf            1996   0.299 
 304 at96h [315]AT315 - Traunviertel               1996   0.271 
 305 at96h [320]AT32 - Salzburg                    1996   0     
 306 at96h [321]AT321 - Lungau                     1996   0.173 
 307 at96h [322]AT322 - Pinzgau-Pongau             1996   0.212 
 308 at96h [323]AT323 - vSalzburg und Umgebung     1996   0.260 
 309 at96h [331]AT331 - Außerfern                  1996   0.323 
 310 at96h [332]AT332 - Innsbruck                  1996   0.266 
 311 at96h [333]AT333 - Osttirol                   1996   0.200 
 312 at96h [334]AT334 - Tiroler Oberland           1996   0.280 
 313 at96h [335]AT335 - Tiroler Unterland          1996   0.270 
 314 at96h [341]AT341 - Bludenz-Bregenzer Wald     1996   0.254 
 315 at96h [342]AT342 - Rheintal-Bodenseegebiet    1996   0.262 
 316 at96h <NA>                                    1996   0.363 
 317 at97h [111]AT111 - Mittelburgenland           1997   0.339 
 318 at97h [112]AT112 - Nordburgenland             1997   0.204 
 319 at97h [113]AT113 - Südburgenland              1997   0.242 
 320 at97h [121]AT121 - Mostviertel-Eisenwurzen    1997   0.277 
 321 at97h [122]AT122 - Niederösterreich-Süd       1997   0.274 
 322 at97h [123]AT123 - Sankt Pölten               1997   0.201 
 323 at97h [124]AT124 - Waldviertel                1997   0.296 
 324 at97h [125]AT125 - Weinviertel                1997   0.290 
 325 at97h [126]AT126 - Wiener Umland/Nordteil     1997   0.257 
 326 at97h [127]AT127 - Wiener Umland/Südteil      1997   0.303 
 327 at97h [131]AT131 - Wien                       1997   0.290 
 328 at97h [211]AT211 - Klagenfurt-Villach         1997   0.274 
 329 at97h [212]AT212 - Oberkärnten                1997   0.293 
 330 at97h [213]AT213 - Unterkärnten               1997   0.277 
 331 at97h [221]AT221 - Graz                       1997   0.285 
 332 at97h [222]AT222 - Liezen                     1997   0.245 
 333 at97h [223]AT223 - Östliche Obersteiermark    1997   0.286 
 334 at97h [224]AT224 - Oststeiermark              1997   0.250 
 335 at97h [225]AT225 - West- und Südsteiermark    1997   0.268 
 336 at97h [226]AT226 - Westliche Obersteiermark   1997   0.302 
 337 at97h [311]AT311 - Innviertel                 1997   0.312 
 338 at97h [312]AT312 - Linz-Wels                  1997   0.308 
 339 at97h [313]AT313 - Mühlviertel                1997   0.263 
 340 at97h [314]AT314 - Steyr-Kirchdorf            1997   0.258 
 341 at97h [315]AT315 - Traunviertel               1997   0.271 
 342 at97h [321]AT321 - Lungau                     1997   0.185 
 343 at97h [322]AT322 - Pinzgau-Pongau             1997   0.262 
 344 at97h [323]AT323 - vSalzburg und Umgebung     1997   0.278 
 345 at97h [331]AT331 - Außerfern                  1997   0.313 
 346 at97h [332]AT332 - Innsbruck                  1997   0.326 
 347 at97h [333]AT333 - Osttirol                   1997   0.264 
 348 at97h [334]AT334 - Tiroler Oberland           1997   0.276 
 349 at97h [335]AT335 - Tiroler Unterland          1997   0.297 
 350 at97h [341]AT341 - Bludenz-Bregenzer Wald     1997   0.258 
 351 at97h [342]AT342 - Rheintal-Bodenseegebiet    1997   0.261 
 352 at97h <NA>                                    1997   0.305 
 353 at98h [111]AT111 - Mittelburgenland           1998   0.347 
 354 at98h [112]AT112 - Nordburgenland             1998   0.196 
 355 at98h [113]AT113 - Südburgenland              1998   0.245 
 356 at98h [121]AT121 - Mostviertel-Eisenwurzen    1998   0.346 
 357 at98h [122]AT122 - Niederösterreich-Süd       1998   0.301 
 358 at98h [123]AT123 - Sankt Pölten               1998   0.272 
 359 at98h [124]AT124 - Waldviertel                1998   0.390 
 360 at98h [125]AT125 - Weinviertel                1998   0.340 
 361 at98h [126]AT126 - Wiener Umland/Nordteil     1998   0.452 
 362 at98h [127]AT127 - Wiener Umland/Südteil      1998   0.296 
 363 at98h [131]AT131 - Wien                       1998   0.310 
 364 at98h [210]AT21 - Kärnten                     1998   0.0362
 365 at98h [211]AT211 - Klagenfurt-Villach         1998   0.261 
 366 at98h [212]AT212 - Oberkärnten                1998   0.299 
 367 at98h [213]AT213 - Unterkärnten               1998   0.321 
 368 at98h [221]AT221 - Graz                       1998   0.280 
 369 at98h [222]AT222 - Liezen                     1998   0.228 
 370 at98h [223]AT223 - Östliche Obersteiermark    1998   0.278 
 371 at98h [224]AT224 - Oststeiermark              1998   0.269 
 372 at98h [225]AT225 - West- und Südsteiermark    1998   0.265 
 373 at98h [226]AT226 - Westliche Obersteiermark   1998   0.280 
 374 at98h [311]AT311 - Innviertel                 1998   0.322 
 375 at98h [312]AT312 - Linz-Wels                  1998   0.291 
 376 at98h [313]AT313 - Mühlviertel                1998   0.240 
 377 at98h [314]AT314 - Steyr-Kirchdorf            1998   0.238 
 378 at98h [315]AT315 - Traunviertel               1998   0.257 
 379 at98h [321]AT321 - Lungau                     1998   0.217 
 380 at98h [322]AT322 - Pinzgau-Pongau             1998   0.191 
 381 at98h [323]AT323 - vSalzburg und Umgebung     1998   0.285 
 382 at98h [331]AT331 - Außerfern                  1998   0.253 
 383 at98h [332]AT332 - Innsbruck                  1998   0.305 
 384 at98h [333]AT333 - Osttirol                   1998   0.278 
 385 at98h [334]AT334 - Tiroler Oberland           1998   0.280 
 386 at98h [335]AT335 - Tiroler Unterland          1998   0.275 
 387 at98h [341]AT341 - Bludenz-Bregenzer Wald     1998   0.285 
 388 at98h [342]AT342 - Rheintal-Bodenseegebiet    1998   0.248 
 389 at98h <NA>                                    1998   0.226 
 390 at99h [111]AT111 - Mittelburgenland           1999   0.354 
 391 at99h [112]AT112 - Nordburgenland             1999   0.230 
 392 at99h [113]AT113 - Südburgenland              1999   0.248 
 393 at99h [121]AT121 - Mostviertel-Eisenwurzen    1999   0.224 
 394 at99h [122]AT122 - Niederösterreich-Süd       1999   0.287 
 395 at99h [123]AT123 - Sankt Pölten               1999   0.232 
 396 at99h [124]AT124 - Waldviertel                1999   0.313 
 397 at99h [125]AT125 - Weinviertel                1999   0.293 
 398 at99h [126]AT126 - Wiener Umland/Nordteil     1999   0.280 
 399 at99h [127]AT127 - Wiener Umland/Südteil      1999   0.278 
 400 at99h [131]AT131 - Wien                       1999   0.301 
 401 at99h [211]AT211 - Klagenfurt-Villach         1999   0.297 
 402 at99h [212]AT212 - Oberkärnten                1999   0.295 
 403 at99h [213]AT213 - Unterkärnten               1999   0.308 
 404 at99h [221]AT221 - Graz                       1999   0.317 
 405 at99h [222]AT222 - Liezen                     1999   0.149 
 406 at99h [223]AT223 - Östliche Obersteiermark    1999   0.274 
 407 at99h [224]AT224 - Oststeiermark              1999   0.257 
 408 at99h [225]AT225 - West- und Südsteiermark    1999   0.272 
 409 at99h [226]AT226 - Westliche Obersteiermark   1999   0.311 
 410 at99h [311]AT311 - Innviertel                 1999   0.328 
 411 at99h [312]AT312 - Linz-Wels                  1999   0.276 
 412 at99h [313]AT313 - Mühlviertel                1999   0.285 
 413 at99h [314]AT314 - Steyr-Kirchdorf            1999   0.240 
 414 at99h [315]AT315 - Traunviertel               1999   0.260 
 415 at99h [321]AT321 - Lungau                     1999   0.225 
 416 at99h [322]AT322 - Pinzgau-Pongau             1999   0.243 
 417 at99h [323]AT323 - vSalzburg und Umgebung     1999   0.316 
 418 at99h [331]AT331 - Außerfern                  1999   0.207 
 419 at99h [332]AT332 - Innsbruck                  1999   0.298 
 420 at99h [333]AT333 - Osttirol                   1999   0.280 
 421 at99h [334]AT334 - Tiroler Oberland           1999   0.250 
 422 at99h [335]AT335 - Tiroler Unterland          1999   0.292 
 423 at99h [341]AT341 - Bludenz-Bregenzer Wald     1999   0.271 
 424 at99h [342]AT342 - Rheintal-Bodenseegebiet    1999   0.350 
 425 at99h <NA>                                    1999   0.210 
 426 be00h [1]Brussels Capital Region              2000   0.312 
 427 be00h [2]Flemish Region                       2000   0.310 
 428 be00h [3]Walloon Region                       2000   0.316 
 429 be03h [1]Brussels Capital Region              2003   0.349 
 430 be03h [2]Flemish Region                       2003   0.287 
 431 be03h [3]Walloon Region                       2003   0.304 
 432 be04h [1]Brussels Capital Region              2004   0.342 
 433 be04h [2]Flemish Region                       2004   0.287 
 434 be04h [3]Walloon Region                       2004   0.305 
 435 be05h [1]Brussels Capital Region              2005   0.378 
 436 be05h [2]Flemish Region                       2005   0.293 
 437 be05h [3]Walloon Region                       2005   0.308 
 438 be06h [1]Brussels Capital Region              2006   0.382 
 439 be06h [2]Flemish Region                       2006   0.287 
 440 be06h [3]Walloon Region                       2006   0.312 
 441 be07h [1]Brussels Capital Region              2007   0.393 
 442 be07h [2]Flemish Region                       2007   0.298 
 443 be07h [3]Walloon Region                       2007   0.311 
 444 be08h [1]Brussels Capital Region              2008   0.383 
 445 be08h [2]Flemish Region                       2008   0.280 
 446 be08h [3]Walloon Region                       2008   0.313 
 447 be09h [1]Brussels Capital Region              2009   0.374 
 448 be09h [2]Flemish Region                       2009   0.296 
 449 be09h [3]Walloon Region                       2009   0.313 
 450 be10h [1]Brussels Capital Region              2010   0.375 
 451 be10h [2]Flemish Region                       2010   0.282 
 452 be10h [3]Walloon Region                       2010   0.305 
 453 be11h [1]Brussels Capital Region              2011   0.381 
 454 be11h [2]Flemish Region                       2011   0.294 
 455 be11h [3]Walloon Region                       2011   0.300 
 456 be12h [1]Brussels Capital Region              2012   0.374 
 457 be12h [2]Flemish Region                       2012   0.289 
 458 be12h [3]Walloon Region                       2012   0.304 
 459 be13h [1]Brussels Capital Region              2013   0.368 
 460 be13h [2]Flemish Region                       2013   0.285 
 461 be13h [3]Walloon Region                       2013   0.297 
 462 be14h [1]Brussels Capital Region              2014   0.349 
 463 be14h [2]Flemish Region                       2014   0.287 
 464 be14h [3]Walloon Region                       2014   0.303 
 465 be15h [1]Brussels Capital Region              2015   0.350 
 466 be15h [2]Flemish Region                       2015   0.295 
 467 be15h [3]Walloon Region                       2015   0.303 
 468 be16h [1]Brussels Capital Region              2016   0.348 
 469 be16h [2]Flemish Region                       2016   0.298 
 470 be16h [3]Walloon Region                       2016   0.304 
 471 be17h [1]Brussels Capital Region              2017   0.332 
 472 be17h [2]Flemish Region                       2017   0.289 
 473 be17h [3]Walloon Region                       2017   0.306 
 474 be88h [1]Brussels Capital Region              1988   0.219 
 475 be88h [2]Flemish Region                       1988   0.254 
 476 be88h [3]Walloon Region                       1988   0.276 
 477 be92h [1]Brussels Capital Region              1992   0.253 
 478 be92h [2]Flemish Region                       1992   0.252 
 479 be92h [3]Walloon Region                       1992   0.273 
 480 be95h [1]Brussels Capital Region              1995   0.316 
 481 be95h [2]Flemish Region                       1995   0.298 
 482 be95h [3]Walloon Region                       1995   0.292 
 483 be97h [1]Brussels Capital Region              1997   0.334 
 484 be97h [2]Flemish Region                       1997   0.267 
 485 be97h [3]Walloon Region                       1997   0.290 
 486 de00h [10]DEA - North Rhine-Westphalia        2000   0.280 
 487 de00h [11]DEB - Rhineland-Palatinate          2000   0.252 
 488 de00h [12]DEC - Saarland                      2000   0.233 
 489 de00h [13]DED - Saxony                        2000   0.251 
 490 de00h [14]DEE - Saxony-Anhalt                 2000   0.262 
 491 de00h [15]DEF - Schleswig-Holstein            2000   0.274 
 492 de00h [16]DEG - Thuringia                     2000   0.251 
