     file  region                                  year im_ratio ed_ratio
 119 at12h [12]Niederösterreich                    2012   NA       NA    
 120 at12h [13]Wien                                2012    1.45     0.697
 121 at12h [21]Kärnten                             2012   NA       NA    
 122 at12h [22]Steiermark                          2012   NA       NA    
 123 at12h [31]Oberösterreich                      2012   NA       NA    
 124 at12h [32]Salzburg                            2012   NA       NA    
 125 at12h [33]Tirol                               2012   NA       NA    
 126 at12h [34]Vorarlberg                          2012    1.27     0.767
 127 at13h [11]Burgenland                          2013    1.50     0.727
 128 at13h [12]Niederösterreich                    2013   NA       NA    
 129 at13h [13]Wien                                2013   NA       NA    
 130 at13h [21]Kärnten                             2013   NA       NA    
 131 at13h [22]Steiermark                          2013    1.20     0.670
 132 at13h [31]Oberösterreich                      2013   NA       NA    
 133 at13h [32]Salzburg                            2013   NA        0.777
 134 at13h [33]Tirol                               2013   NA       NA    
 135 at13h [34]Vorarlberg                          2013    1.24     0.609
 136 at14h [11]Burgenland                          2014    1.51     0.654
 137 at14h [12]Niederösterreich                    2014   NA        0.599
 138 at14h [13]Wien                                2014   NA        0.695
 139 at14h [21]Kärnten                             2014    1.30     0.654
 140 at14h [22]Steiermark                          2014   NA        0.741
 141 at14h [31]Oberösterreich                      2014    1.24     0.758
 142 at14h [32]Salzburg                            2014    1.31     0.774
 143 at14h [33]Tirol                               2014   NA       NA    
 144 at14h [34]Vorarlberg                          2014    1.15     0.532
 145 at15h [11]Burgenland                          2015    1.48     0.669
 146 at15h [12]Niederösterreich                    2015    1.21     0.622
 147 at15h [13]Wien                                2015    1.54     0.683
 148 at15h [21]Kärnten                             2015    1.38     0.801
 149 at15h [22]Steiermark                          2015    1.43     0.775
 150 at15h [31]Oberösterreich                      2015    1.43     0.643
 151 at15h [32]Salzburg                            2015    1.13     0.728
 152 at15h [33]Tirol                               2015    1.13     0.825
 153 at15h [34]Vorarlberg                          2015    1.22     0.657
 154 at16h [11]Burgenland                          2016   NA       NA    
 155 at16h [12]Niederösterreich                    2016   NA       NA    
 156 at16h [13]Wien                                2016   NA       NA    
 157 at16h [21]Kärnten                             2016    1.24     0.578
 158 at16h [22]Steiermark                          2016   NA       NA    
 159 at16h [31]Oberösterreich                      2016   NA       NA    
 160 at16h [32]Salzburg                            2016   NA       NA    
 161 at16h [33]Tirol                               2016    1.14     0.802
 162 at16h [34]Vorarlberg                          2016    1.10     0.663
 163 at17h [11]Burgenland                          2017    1.41     0.528
 164 at17h [12]Niederösterreich                    2017   NA       NA    
 165 at17h [13]Wien                                2017   NA       NA    
 166 at17h [21]Kärnten                             2017   NA        0.821
 167 at17h [22]Steiermark                          2017   NA       NA    
 168 at17h [31]Oberösterreich                      2017   NA        0.667
 169 at17h [32]Salzburg                            2017   NA        0.701
 170 at17h [33]Tirol                               2017   NA       NA    
 171 at17h [34]Vorarlberg                          2017    1.12     0.681
 172 at18h [11]Burgenland                          2018   NA       NA    
 173 at18h [12]Niederösterreich                    2018    1.39     0.662
 174 at18h [13]Wien                                2018    1.35     0.739
 175 at18h [21]Kärnten                             2018    1.33     0.839
 176 at18h [22]Steiermark                          2018    1.32     0.805
 177 at18h [31]Oberösterreich                      2018   NA       NA    
 178 at18h [32]Salzburg                            2018   NA        0.687
 179 at18h [33]Tirol                               2018    1.15     0.771
 180 at18h [34]Vorarlberg                          2018    1.34     0.782
 181 at19h [11]Burgenland                          2019   NA       NA    
 182 at19h [12]Niederösterreich                    2019   NA       NA    
 183 at19h [13]Wien                                2019   NA        0.709
 184 at19h [21]Kärnten                             2019   NA       NA    
 185 at19h [22]Steiermark                          2019   NA       NA    
 186 at19h [31]Oberösterreich                      2019   NA       NA    
 187 at19h [32]Salzburg                            2019   NA       NA    
 188 at19h [33]Tirol                               2019   NA        0.743
 189 at19h [34]Vorarlberg                          2019    1.32     0.643
 190 at20h [11]Burgenland                          2020    1.37     0.751
 191 at20h [12]Niederösterreich                    2020   NA       NA    
 192 at20h [13]Wien                                2020   NA       NA    
 193 at20h [21]Kärnten                             2020   NA        0.629
 194 at20h [22]Steiermark                          2020   NA       NA    
 195 at20h [31]Oberösterreich                      2020   NA       NA    
 196 at20h [32]Salzburg                            2020   NA       NA    
 197 at20h [33]Tirol                               2020   NA       NA    
 198 at20h [34]Vorarlberg                          2020   NA        0.726
 199 at94h [111]AT111 - Mittelburgenland           1994    1.63     0.549
 200 at94h [112]AT112 - Nordburgenland             1994   NA        0.797
 201 at94h [113]AT113 - Südburgenland              1994    0.714    0.694
 202 at94h [121]AT121 - Mostviertel-Eisenwurzen    1994   NA       NA    
 203 at94h [122]AT122 - Niederösterreich-Süd       1994   NA       NA    
 204 at94h [123]AT123 - Sankt Pölten               1994    1.03     0.601
 205 at94h [124]AT124 - Waldviertel                1994   NA       NA    
 206 at94h [125]AT125 - Weinviertel                1994    1.28     0.825
 207 at94h [126]AT126 - Wiener Umland/Nordteil     1994    0.751    0.699
 208 at94h [127]AT127 - Wiener Umland/Südteil      1994    0.920    0.532
 209 at94h [131]AT131 - Wien                       1994   NA       NA    
 210 at94h [211]AT211 - Klagenfurt-Villach         1994   NA        0.736
 211 at94h [212]AT212 - Oberkärnten                1994    1.52     0.870
 212 at94h [213]AT213 - Unterkärnten               1994    0.619    0.482
 213 at94h [221]AT221 - Graz                       1994    1.25     0.820
 214 at94h [222]AT222 - Liezen                     1994    0.282   NA    
 215 at94h [223]AT223 - Östliche Obersteiermark    1994    1.07     0.721
 216 at94h [224]AT224 - Oststeiermark              1994    1.29     0.872
 217 at94h [225]AT225 - West- und Südsteiermark    1994    1.22     0.570
 218 at94h [226]AT226 - Westliche Obersteiermark   1994    0.951    0.420
 219 at94h [311]AT311 - Innviertel                 1994    0.633    0.885
 220 at94h [312]AT312 - Linz-Wels                  1994    1.07     0.687
 221 at94h [313]AT313 - Mühlviertel                1994    1.34     0.803
 222 at94h [314]AT314 - Steyr-Kirchdorf            1994    0.873    0.934
 223 at94h [315]AT315 - Traunviertel               1994    1.25     0.611
 224 at94h [321]AT321 - Lungau                     1994   NA        0.451
 225 at94h [322]AT322 - Pinzgau-Pongau             1994    0.952    0.944
 226 at94h [323]AT323 - vSalzburg und Umgebung     1994    1.12     0.754
 227 at94h [331]AT331 - Außerfern                  1994    1.62     1.64 
 228 at94h [332]AT332 - Innsbruck                  1994   NA       NA    
 229 at94h [333]AT333 - Osttirol                   1994    0.821    0.919
 230 at94h [334]AT334 - Tiroler Oberland           1994    0.640    1.01 
 231 at94h [335]AT335 - Tiroler Unterland          1994    1.48     0.567
 232 at94h [341]AT341 - Bludenz-Bregenzer Wald     1994    1.37     0.657
 233 at94h [342]AT342 - Rheintal-Bodenseegebiet    1994    1.40     0.733
 234 at95h [110]AT11 - Burgenland                  1995   NA       NA    
 235 at95h [111]AT111 - Mittelburgenland           1995    1.29     0.731
 236 at95h [112]AT112 - Nordburgenland             1995   NA        0.855
 237 at95h [113]AT113 - Südburgenland              1995    0.629    0.712
 238 at95h [120]AT12 - Niederösterreich            1995   NA       NA    
 239 at95h [121]AT121 - Mostviertel-Eisenwurzen    1995   NA       NA    
 240 at95h [122]AT122 - Niederösterreich-Süd       1995   NA       NA    
 241 at95h [123]AT123 - Sankt Pölten               1995    1.09     0.777
 242 at95h [124]AT124 - Waldviertel                1995    1.02     0.564
 243 at95h [125]AT125 - Weinviertel                1995    1.35     0.628
 244 at95h [126]AT126 - Wiener Umland/Nordteil     1995   NA        0.398
 245 at95h [127]AT127 - Wiener Umland/Südteil      1995    0.864    0.530
 246 at95h [131]AT131 - Wien                       1995   NA       NA    
 247 at95h [200]AT2 - Südösterreich                1995    1.49    NA    
 248 at95h [210]AT21 - Kärnten                     1995   14.6     16.8  
 249 at95h [211]AT211 - Klagenfurt-Villach         1995    1.26     0.754
 250 at95h [212]AT212 - Oberkärnten                1995    1.10     0.770
 251 at95h [213]AT213 - Unterkärnten               1995    1.08     0.559
 252 at95h [221]AT221 - Graz                       1995   NA       NA    
 253 at95h [222]AT222 - Liezen                     1995    1.39    NA    
 254 at95h [223]AT223 - Östliche Obersteiermark    1995    1.28     0.687
 255 at95h [224]AT224 - Oststeiermark              1995   NA       NA    
 256 at95h [225]AT225 - West- und Südsteiermark    1995    1.66     0.693
 257 at95h [226]AT226 - Westliche Obersteiermark   1995    1.18     0.583
 258 at95h [300]AT3 - Westösterreich               1995   NA       NA    
 259 at95h [311]AT311 - Innviertel                 1995    0.611    1.05 
 260 at95h [312]AT312 - Linz-Wels                  1995    0.955    0.709
 261 at95h [313]AT313 - Mühlviertel                1995    1.18     0.794
 262 at95h [314]AT314 - Steyr-Kirchdorf            1995   NA       NA    
 263 at95h [315]AT315 - Traunviertel               1995   NA       NA    
 264 at95h [320]AT32 - Salzburg                    1995   NA       NA    
 265 at95h [321]AT321 - Lungau                     1995   NA        0.532
 266 at95h [322]AT322 - Pinzgau-Pongau             1995    0.777    0.987
 267 at95h [323]AT323 - vSalzburg und Umgebung     1995    1.14     0.796
 268 at95h [331]AT331 - Außerfern                  1995    0.983    0.763
 269 at95h [332]AT332 - Innsbruck                  1995    1.37     0.902
 270 at95h [333]AT333 - Osttirol                   1995   NA       NA    
 271 at95h [334]AT334 - Tiroler Oberland           1995    0.803    0.812
 272 at95h [335]AT335 - Tiroler Unterland          1995    0.791    0.567
 273 at95h [341]AT341 - Bludenz-Bregenzer Wald     1995   NA       NA    
 274 at95h [342]AT342 - Rheintal-Bodenseegebiet    1995    0.924    0.295
 275 at96h [110]AT11 - Burgenland                  1996   NA       NA    
 276 at96h [111]AT111 - Mittelburgenland           1996    0.905    0.657
 277 at96h [112]AT112 - Nordburgenland             1996   NA        0.629
 278 at96h [113]AT113 - Südburgenland              1996    0.553    0.635
 279 at96h [120]AT12 - Niederösterreich            1996   NA       NA    
 280 at96h [121]AT121 - Mostviertel-Eisenwurzen    1996   NA       NA    
 281 at96h [122]AT122 - Niederösterreich-Süd       1996    1.20     0.854
 282 at96h [123]AT123 - Sankt Pölten               1996    0.644    0.800
 283 at96h [124]AT124 - Waldviertel                1996   NA       NA    
 284 at96h [125]AT125 - Weinviertel                1996    1.19     0.646
 285 at96h [126]AT126 - Wiener Umland/Nordteil     1996    1.08     0.656
 286 at96h [127]AT127 - Wiener Umland/Südteil      1996    0.981    0.576
 287 at96h [131]AT131 - Wien                       1996   NA       NA    
 288 at96h [200]AT2 - Südösterreich                1996   NA       NA    
 289 at96h [210]AT21 - Kärnten                     1996    1.87     1.62 
 290 at96h [211]AT211 - Klagenfurt-Villach         1996    1.28     0.783
 291 at96h [212]AT212 - Oberkärnten                1996    1.35     0.831
 292 at96h [213]AT213 - Unterkärnten               1996    1.32     0.716
 293 at96h [221]AT221 - Graz                       1996    1.56     0.942
 294 at96h [222]AT222 - Liezen                     1996    1.07    NA    
 295 at96h [223]AT223 - Östliche Obersteiermark    1996    1.04     0.676
 296 at96h [224]AT224 - Oststeiermark              1996    0.902    0.797
 297 at96h [225]AT225 - West- und Südsteiermark    1996    2.18     0.624
 298 at96h [226]AT226 - Westliche Obersteiermark   1996    1.20     0.649
 299 at96h [300]AT3 - Westösterreich               1996   NA       NA    
 300 at96h [311]AT311 - Innviertel                 1996    0.623    1.05 
 301 at96h [312]AT312 - Linz-Wels                  1996    1.04     0.699
 302 at96h [313]AT313 - Mühlviertel                1996    1.13     0.737
 303 at96h [314]AT314 - Steyr-Kirchdorf            1996    1.05     0.879
 304 at96h [315]AT315 - Traunviertel               1996    0.839    0.602
 305 at96h [320]AT32 - Salzburg                    1996   NA       NA    
 306 at96h [321]AT321 - Lungau                     1996    0.396    0.569
 307 at96h [322]AT322 - Pinzgau-Pongau             1996    0.929    1.19 
 308 at96h [323]AT323 - vSalzburg und Umgebung     1996    1.02     0.819
 309 at96h [331]AT331 - Außerfern                  1996    0.831    0.736
 310 at96h [332]AT332 - Innsbruck                  1996   NA        0.704
 311 at96h [333]AT333 - Osttirol                   1996   NA       NA    
 312 at96h [334]AT334 - Tiroler Oberland           1996    0.862    0.730
 313 at96h [335]AT335 - Tiroler Unterland          1996   NA       NA    
 314 at96h [341]AT341 - Bludenz-Bregenzer Wald     1996    0.720    0.674
 315 at96h [342]AT342 - Rheintal-Bodenseegebiet    1996    1.07     0.579
 316 at96h <NA>                                    1996   NA        1.25 
 317 at97h [111]AT111 - Mittelburgenland           1997    1.11     0.329
 318 at97h [112]AT112 - Nordburgenland             1997   NA        0.873
 319 at97h [113]AT113 - Südburgenland              1997    1.11     0.680
 320 at97h [121]AT121 - Mostviertel-Eisenwurzen    1997    1.13     0.698
 321 at97h [122]AT122 - Niederösterreich-Süd       1997    1.48     1.16 
 322 at97h [123]AT123 - Sankt Pölten               1997    0.810    0.819
 323 at97h [124]AT124 - Waldviertel                1997    0.883    0.449
 324 at97h [125]AT125 - Weinviertel                1997    1.16     0.641
 325 at97h [126]AT126 - Wiener Umland/Nordteil     1997    1.05     0.534
 326 at97h [127]AT127 - Wiener Umland/Südteil      1997    0.997    0.650
 327 at97h [131]AT131 - Wien                       1997   NA       NA    
 328 at97h [211]AT211 - Klagenfurt-Villach         1997    1.22     0.806
 329 at97h [212]AT212 - Oberkärnten                1997    1.29     1.31 
 330 at97h [213]AT213 - Unterkärnten               1997   NA        0.573
 331 at97h [221]AT221 - Graz                       1997    1.18     0.788
 332 at97h [222]AT222 - Liezen                     1997    1.06    NA    
 333 at97h [223]AT223 - Östliche Obersteiermark    1997    0.504    0.650
 334 at97h [224]AT224 - Oststeiermark              1997   NA       NA    
 335 at97h [225]AT225 - West- und Südsteiermark    1997    0.718    0.639
 336 at97h [226]AT226 - Westliche Obersteiermark   1997    1.26     0.586
 337 at97h [311]AT311 - Innviertel                 1997   NA       NA    
 338 at97h [312]AT312 - Linz-Wels                  1997    1.02     0.888
 339 at97h [313]AT313 - Mühlviertel                1997    1.01     0.629
 340 at97h [314]AT314 - Steyr-Kirchdorf            1997    0.987    0.833
 341 at97h [315]AT315 - Traunviertel               1997    0.908    0.691
 342 at97h [321]AT321 - Lungau                     1997   NA       NA    
 343 at97h [322]AT322 - Pinzgau-Pongau             1997    0.586    0.955
 344 at97h [323]AT323 - vSalzburg und Umgebung     1997   NA        0.728
 345 at97h [331]AT331 - Außerfern                  1997    0.686    0.727
 346 at97h [332]AT332 - Innsbruck                  1997    1.23     0.569
 347 at97h [333]AT333 - Osttirol                   1997   NA        0.829
 348 at97h [334]AT334 - Tiroler Oberland           1997    0.828    0.738
 349 at97h [335]AT335 - Tiroler Unterland          1997    1.09     0.507
 350 at97h [341]AT341 - Bludenz-Bregenzer Wald     1997    0.791    0.631
 351 at97h [342]AT342 - Rheintal-Bodenseegebiet    1997    0.936    0.682
 352 at97h <NA>                                    1997    1.01     0.929
 353 at98h [111]AT111 - Mittelburgenland           1998    2.15     0.518
 354 at98h [112]AT112 - Nordburgenland             1998    1.28     1.15 
 355 at98h [113]AT113 - Südburgenland              1998    1.03     0.754
 356 at98h [121]AT121 - Mostviertel-Eisenwurzen    1998    1.20     0.732
 357 at98h [122]AT122 - Niederösterreich-Süd       1998   NA        0.980
 358 at98h [123]AT123 - Sankt Pölten               1998    0.913    1.17 
 359 at98h [124]AT124 - Waldviertel                1998   NA        0.450
 360 at98h [125]AT125 - Weinviertel                1998    1.43     0.705
 361 at98h [126]AT126 - Wiener Umland/Nordteil     1998    1.04     0.541
 362 at98h [127]AT127 - Wiener Umland/Südteil      1998    0.906    0.535
 363 at98h [131]AT131 - Wien                       1998   NA        0.731
 364 at98h [210]AT21 - Kärnten                     1998   NA       NA    
 365 at98h [211]AT211 - Klagenfurt-Villach         1998   NA        0.854
 366 at98h [212]AT212 - Oberkärnten                1998    1.38     0.975
 367 at98h [213]AT213 - Unterkärnten               1998    1.13     0.677
 368 at98h [221]AT221 - Graz                       1998    1.38     0.830
 369 at98h [222]AT222 - Liezen                     1998    0.968   NA    
 370 at98h [223]AT223 - Östliche Obersteiermark    1998    0.872    0.472
 371 at98h [224]AT224 - Oststeiermark              1998    0.724    1.83 
 372 at98h [225]AT225 - West- und Südsteiermark    1998    0.837    0.748
 373 at98h [226]AT226 - Westliche Obersteiermark   1998    1.20     0.489
 374 at98h [311]AT311 - Innviertel                 1998    0.722    1.05 
 375 at98h [312]AT312 - Linz-Wels                  1998    0.947    0.804
 376 at98h [313]AT313 - Mühlviertel                1998   NA        0.603
 377 at98h [314]AT314 - Steyr-Kirchdorf            1998    0.828    0.780
 378 at98h [315]AT315 - Traunviertel               1998    0.931    0.726
 379 at98h [321]AT321 - Lungau                     1998   NA       NA    
 380 at98h [322]AT322 - Pinzgau-Pongau             1998    0.664    1.07 
 381 at98h [323]AT323 - vSalzburg und Umgebung     1998   NA        0.802
 382 at98h [331]AT331 - Außerfern                  1998    0.810    0.853
 383 at98h [332]AT332 - Innsbruck                  1998    1.23     0.735
 384 at98h [333]AT333 - Osttirol                   1998    1.11     0.849
 385 at98h [334]AT334 - Tiroler Oberland           1998    0.668    0.945
 386 at98h [335]AT335 - Tiroler Unterland          1998    1.19     0.444
 387 at98h [341]AT341 - Bludenz-Bregenzer Wald     1998    0.891    0.784
 388 at98h [342]AT342 - Rheintal-Bodenseegebiet    1998    1.06     0.732
 389 at98h <NA>                                    1998    1.20     0.795
 390 at99h [111]AT111 - Mittelburgenland           1999    2.39     0.488
 391 at99h [112]AT112 - Nordburgenland             1999    1.65     1.35 
 392 at99h [113]AT113 - Südburgenland              1999    0.919    0.669
 393 at99h [121]AT121 - Mostviertel-Eisenwurzen    1999    1.20     0.630
 394 at99h [122]AT122 - Niederösterreich-Süd       1999   NA       NA    
 395 at99h [123]AT123 - Sankt Pölten               1999    0.659    0.788
 396 at99h [124]AT124 - Waldviertel                1999    1.25     0.424
 397 at99h [125]AT125 - Weinviertel                1999    1.30     0.486
 398 at99h [126]AT126 - Wiener Umland/Nordteil     1999    0.979    0.613
 399 at99h [127]AT127 - Wiener Umland/Südteil      1999    0.943    0.736
 400 at99h [131]AT131 - Wien                       1999   NA       NA    
 401 at99h [211]AT211 - Klagenfurt-Villach         1999    1.25     0.794
 402 at99h [212]AT212 - Oberkärnten                1999    1.24     0.745
 403 at99h [213]AT213 - Unterkärnten               1999    1.26     0.563
 404 at99h [221]AT221 - Graz                       1999   NA        0.845
 405 at99h [222]AT222 - Liezen                     1999    1.22    NA    
 406 at99h [223]AT223 - Östliche Obersteiermark    1999    0.726    0.489
 407 at99h [224]AT224 - Oststeiermark              1999    0.754    1.65 
 408 at99h [225]AT225 - West- und Südsteiermark    1999    1.10     0.861
 409 at99h [226]AT226 - Westliche Obersteiermark   1999    1.21     0.547
 410 at99h [311]AT311 - Innviertel                 1999    0.654    1.19 
 411 at99h [312]AT312 - Linz-Wels                  1999    1.08     0.897
 412 at99h [313]AT313 - Mühlviertel                1999   NA       NA    
 413 at99h [314]AT314 - Steyr-Kirchdorf            1999    0.728    0.781
 414 at99h [315]AT315 - Traunviertel               1999    1.04     0.686
 415 at99h [321]AT321 - Lungau                     1999   NA       NA    
 416 at99h [322]AT322 - Pinzgau-Pongau             1999    0.748    0.757
 417 at99h [323]AT323 - vSalzburg und Umgebung     1999    0.919    0.678
 418 at99h [331]AT331 - Außerfern                  1999    1.06     0.659
 419 at99h [332]AT332 - Innsbruck                  1999    1.89     0.708
 420 at99h [333]AT333 - Osttirol                   1999    1.06     0.987
 421 at99h [334]AT334 - Tiroler Oberland           1999    0.871    0.995
 422 at99h [335]AT335 - Tiroler Unterland          1999    1.13     0.464
 423 at99h [341]AT341 - Bludenz-Bregenzer Wald     1999    0.846    0.653
 424 at99h [342]AT342 - Rheintal-Bodenseegebiet    1999   NA       NA    
 425 at99h <NA>                                    1999    1.91     0.619
 426 be00h [1]Brussels Capital Region              2000   NA       NA    
 427 be00h [2]Flemish Region                       2000   NA       NA    
 428 be00h [3]Walloon Region                       2000   NA       NA    
 429 be03h [1]Brussels Capital Region              2003   NA       NA    
 430 be03h [2]Flemish Region                       2003   NA       NA    
 431 be03h [3]Walloon Region                       2003   NA       NA    
 432 be04h [1]Brussels Capital Region              2004   NA       NA    
 433 be04h [2]Flemish Region                       2004   NA       NA    
 434 be04h [3]Walloon Region                       2004   NA       NA    
 435 be05h [1]Brussels Capital Region              2005    1.03     0.565
 436 be05h [2]Flemish Region                       2005    1.11     0.586
 437 be05h [3]Walloon Region                       2005   NA       NA    
 438 be06h [1]Brussels Capital Region              2006    1.15     0.613
 439 be06h [2]Flemish Region                       2006    1.13     0.618
 440 be06h [3]Walloon Region                       2006    1.19     0.594
 441 be07h [1]Brussels Capital Region              2007    1.13     0.627
 442 be07h [2]Flemish Region                       2007    1.09     0.601
 443 be07h [3]Walloon Region                       2007    1.27     0.605
 444 be08h [1]Brussels Capital Region              2008    1.13     0.558
 445 be08h [2]Flemish Region                       2008    1.13     0.616
